"","original_title.x","id","Actor","Director","budget.x","X1st.genre","genres","X1st.production.company","runtime.x","ProductionBudget","DomesticGross","release_date.x"
"11","as it is in heaven",257238,"abi van andel","joshua overbay",0,"drama","[{'id': 18, 'name': 'Drama'}]",NA,86,450000,13486,"2014-08-15"
"12","soul kitchen",31175,"adam bousdoukos","fatih akin",5000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","CorazÃ³n International",99,4900000,276901,"2009-09-09"
"13","think like a man too",184098,"adam brody","tim story",24000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","Will Packer Productions",105,2.4e+07,65028687,"2014-06-20"
"14","road hard",291362,"adam carolla","adam carolla",1500000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Sontalia",97,1500000,113169,"2015-03-06"
"15","the hammer",14014,"adam carolla","charles herman wurmfeld",0,"comedy","[{'id': 35, 'name': 'Comedy'}]","Bentley Filmgroup",88,850000,442638,"2007-04-01"
"16","the hebrew hammer",19187,"adam goldberg","jonathan kesselman",1000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]","ContentFilm",85,1300000,77755,"2003-01-01"
"17","the young messiah",318850,"adam greaves neal","cyrus nowrasteh",18500000,"drama","[{'id': 18, 'name': 'Drama'}]","Focus Features",120,16800000,6469813,"2016-03-10"
"18","grown ups 2",109418,"adam sandler","dennis dugan",80000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Columbia Pictures",100,8e+07,133668525,"2013-07-11"
"19","bedtime stories",10202,"adam sandler","adam shankman",80000000,"fantasy","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]","Walt Disney Pictures",99,8e+07,110101975,"2008-12-24"
"20","grown ups",38365,"adam sandler","dennis dugan",80000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Columbia Pictures",102,7.5e+07,162001186,"2010-06-24"
"21","hotel transylvania",76492,"adam sandler","genndy tartakovsky",85000000,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","Columbia Pictures",91,8.5e+07,148313048,"2012-09-20"
"22","spanglish",2539,"adam sandler","james l brooks",80000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Gracie Films",130,7.5e+07,42044321,"2004-12-17"
"23","little nicky",9678,"adam sandler","steven brill",85000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]","New Line Cinema",90,8e+07,39442871,"2000-11-10"
"24","pixels",257344,"adam sandler","chris columbus",88000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]","Columbia Pictures",105,9e+07,78765986,"2015-07-16"
"25","krampus",287903,"adam scott","michael dougherty",15000000,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","Universal Pictures",98,1.5e+07,42725475,"2015-11-26"
"26","the pianist",423,"adrien brody","roman polanski",35000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]","Bac Films",150,3.5e+07,32519322,"2002-09-24"
"27","stolen summer",39541,"aidan quinn","pete jones",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",NA,91,1500000,119841,"2002-03-22"
"28","go for it ",61038,"aimee garcia","carmen marron",2450000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","Pantelion Film",105,2450000,180237,"2011-05-13"
"29","bride prejudice",57825,"aishwarya rai bachchan","gurinder chadha",7000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",NA,111,7e+06,6601079,"2004-02-11"
"30","grace unplugged",206284,"aj michalka","brad j silverman",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]","Coram Deo Studios",102,1700000,2507159,"2013-10-04"
"31","namastey london",20360,"akshay kumar","vipul amrutlal shah",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",NA,128,8400000,1207007,"2007-03-27"
"32","joker",129507,"akshay kumar","shirish kunder",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",NA,0,5.5e+07,335416967,"2012-08-31"
"33","khiladi 786",147767,"akshay kumar","ashish r mohan",0,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",NA,139,5600000,385422,"2012-12-07"
"34","insomnia",320,"al pacino","christopher nolan",46000000,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","Section Eight",118,4.6e+07,67263182,"2002-05-24"
"35","people i know",11458,"al pacino","daniel algrant",20000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",NA,100,2e+07,121972,"2002-11-21"
"36","company man",44412,"alan cumming","douglas mcgrath",0,"comedy","[{'id': 35, 'name': 'Comedy'}]",NA,86,1.2e+07,146028,"2000-03-09"
"37","sunshine state",57022,"alan king","john sayles",0,"drama","[{'id': 18, 'name': 'Drama'}]",NA,141,5600000,3064356,"2002-06-21"
"38","bottle shock",13996,"alan rickman","randall miller",5000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Zininsa Film Production",110,5e+06,4078607,"2008-08-06"
"39","oddball",356905,"alan tudyk","stuart mcdonald",0,"family","[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]","WTFN Entertainment",95,7e+06,0,"2015-09-17"
"40","beautiful creatures",109491,"alden ehrenreich","richard lagravenese",60000000,"fantasy","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Alcon Entertainment",124,5e+07,19452138,"2013-02-13"
"41","thomas and the magic railroad",16110,"alec baldwin","britt allcroft",0,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]","Destination Films",85,1.9e+07,15911332,"2000-07-26"
"42","max keeble s big move",34549,"alex d linz","tim hill",12000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]","Walt Disney Pictures",86,1.2e+07,17292381,"2001-10-05"
"43","elephant",1807,"alex frost","gus van sant",3000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","HBO Films",81,3e+06,1266955,"2003-05-18"
"44","supporting characters",139998,"alex karpovsky","daniel schechter",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",NA,87,60000,4917,"2012-01-23"
"45","courageous",72213,"alex kendrick","alex kendrick",1000000,"drama","[{'id': 18, 'name': 'Drama'}]","TriStar Pictures",129,2e+06,34522221,"2011-09-30"
"46","repo the genetic opera",14353,"alexa penavega","darren lynn bousman",0,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 878, 'name': 'Science Fiction'}]","Lions Gate Films",98,8500000,140244,"2008-07-18"
"47","spy kids",10054,"alexa penavega","robert rodriguez",35000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]","Dimension Films",88,3.5e+07,112692062,"2001-03-18"
"48","the legend of tarzan",258489,"alexander skarsgård","david yates",180000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","Village Roadshow Pictures",109,1.8e+08,126643061,"2016-06-29"
"49","cidade de deus",598,"alexandre rodrigues","fernando meirelles",3300000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","O2 Filmes",130,3300000,7563397,"2002-02-05"
"50","tuck everlasting",13768,"alexis bledel","jay russell",15000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]","Walt Disney Pictures",90,1.5e+07,19161999,"2002-10-11"
"51","the good guy",39037,"alexis bledel","julio depietro",3200000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","Belladonna Productions",90,1e+07,100688,"2009-04-25"
"52","final destination 2",9358,"ali larter","david r ellis",26000000,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","New Line Cinema",90,2.6e+07,46896664,"2003-01-31"
"53","testament of youth",284689,"alicia vikander","james kent",0,"history","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]","BBC Films",129,1e+07,1822250,"2014-10-14"
"54","wanderlust",54040,"allison anders","shari springer berman",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}]",NA,84,32500000,17288155,"2006-07-12"
"55","my girlfriend s boyfriend",46198,"alyssa milano","daryn tufts",1400000,"comedy","[{'id': 35, 'name': 'Comedy'}]","fiftyfilms",84,1400000,0,"2010-04-22"
"56","what a girl wants",10735,"amanda bynes","dennie gordon",0,"comedy","[{'id': 35, 'name': 'Comedy'}]","DiNovi Pictures",105,2.5e+07,35990505,"2003-03-27"
"57","kiss the bride",82432,"amanda detmer","vanessa parise",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Replay Pictures",89,5e+05,32033,"2002-10-16"
"58","whipped",23531,"amanda peet","peter m cohen",3000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","Hi-Rez Films",82,3e+06,4142507,"2000-09-01"
"59","everything everything",417678,"amandla stenberg","stella meghie",10000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Metro-Goldwyn-Mayer (MGM)",96,1e+07,34121140,"2017-05-19"
"60","all the boys love mandy lane",9022,"amber heard","jonathan levine",750000,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","Occupant Films",90,750000,0,"2008-02-15"
"61","the spy next door",23172,"amber valletta","brian levant",28000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Robert Simonds Productions",94,2.8e+07,24307106,"2010-01-15"
"62","real women have curves",30309,"america ferrera","patricia cardoso",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",NA,86,3e+06,5853194,"2002-01-01"
"63","the gatekeepers",127918,"ami ayalon","dror moreh",0,"documentary","[{'id': 99, 'name': 'Documentary'}]","Les Films du Poisson",101,1500000,2408553,"2012-07-09"
"64","inside out",150540,"amy poehler","pete docter",175000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]","Walt Disney Pictures",94,1.75e+08,356461711,"2015-06-09"
"65","the house",345914,"amy poehler","andrew j cohen",40000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","New Line Cinema",88,4e+07,25584504,"2017-06-29"
"66","jimi all is by my side",192133,"andré benjamin","john ridley",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]","Darko Entertainment",118,5e+06,340911,"2013-09-07"
"67","le havre",73532,"andré wilms","aki kaurismäki",3850000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","Pyramide Productions",93,5500000,611709,"2011-05-17"
"68","walter",323967,"andrew j west","anna mastro",700000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",NA,87,7e+05,0,"2015-03-13"
"69","the lost city",9700,"andy garcía","andy garcía",9600000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Lions Gate Films",144,9600000,2484186,"2005-09-03"
"70","cargo",182972,"andy rodoreda","ben howling",0,"fantasy","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]","Dreaming Tree Productions",7,4200000,0,"2013-04-02"
"71","popstar never stop never stopping",341012,"andy samberg","akiva schaffer",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]","Universal Pictures",86,2e+07,9496130,"2016-06-03"
"72","storks",332210,"andy samberg","doug sweetland",70000000,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Warner Bros. Animation",87,7e+07,72679278,"2016-09-22"
"73","the signal",13059,"anessa ramsey","david bruckner",50000,"action","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",NA,103,4e+06,600896,"2007-02-22"
"75","carrie",7342,"angela bettis","david carson",0,"tv movie","[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]","MGM Television",132,3e+07,35266619,"2002-11-04"
"76","may",10894,"angela bettis","lucky mckee",500000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]","A Loopy Production LLC",93,1750000,145540,"2002-01-13"
"77","treading water",45823,"angela redman","lauren himmel",0,"drama","[{'id': 18, 'name': 'Drama'}]",NA,0,4700000,0,"2001-06-15"
"78","closure",284568,"angela tucker","bryan tucker",0,"documentary","[{'id': 99, 'name': 'Documentary'}]",NA,76,1e+05,0,"2013-12-01"
"79","lara croft tomb raider the cradle of life",1996,"angelina jolie","jan de bont",95000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]","Paramount Pictures",117,9e+07,65653758,"2003-07-21"
"80","a mighty heart",1988,"angelina jolie","michael winterbottom",16000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","Plan B Entertainment",100,1.5e+07,9176787,"2007-01-01"
"81","original sin",2057,"angelina jolie","michael cristofer",42000000,"thriller","[{'id': 53, 'name': 'Thriller'}]","Intermedia Films",118,2.6e+07,16521410,"2001-08-03"
"82","changeling",3580,"angelina jolie","clint eastwood",55000000,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","Imagine Entertainment",141,5.5e+07,35739802,"2008-01-30"
"83","chocolate deep dark secrets",20296,"anil kapoor","vivek agnihotri",0,"thriller","[{'id': 53, 'name': 'Thriller'}]",NA,200,1e+06,49000,"2005-09-16"
"84","compliance",84188,"ann dowd","craig zobel",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","Muskat Filmed Properties",90,270000,319285,"2012-08-23"
"85","public enemies",211354,"anna friel","dearbhla walsh",0,"drama","[{'id': 18, 'name': 'Drama'}]","British Broadcasting Corporation (BBC)",177,102500000,97104620,"2012-01-03"
"86","pitch perfect",114150,"anna kendrick","jason moore",17000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]","Brownstone Productions",112,1.7e+07,65001093,"2012-09-28"
"87","pitch perfect 3",353616,"anna kendrick","trish sie",0,"comedy","[{'id': 35, 'name': 'Comedy'}]",NA,0,4.5e+07,104897530,"2017-12-21"
"88","table 19",353569,"anna kendrick","jeffrey blitz",5000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","21 Laps Entertainment",87,5e+06,3614896,"2017-01-20"
"89","the last five years",206296,"anna kendrick","richard lagravenese",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]","Lucky Monkey Pictures",94,2e+06,147299,"2014-11-03"
"90","mommy",265177,"anne dorval","xavier dolan",4900000,"drama","[{'id': 18, 'name': 'Drama'}]","TÃ©lÃ©film Canada",138,4900000,3498695,"2014-05-22"
"91","bride wars",10521,"anne hathaway","gary winick",30000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Dune Entertainment",89,3e+07,58715510,"2009-01-09"
"92","one day",51828,"anne hathaway","lone scherfig",15000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Film 4",107,1.5e+07,13843771,"2011-03-02"
"93","the princess diaries",9880,"anne hathaway","garry marshall",37000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]","Walt Disney Pictures",115,3e+07,108244774,"2001-08-03"
"94","the princess diaries 2 royal engagement",11130,"anne hathaway","garry marshall",40000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]","Walt Disney Pictures",113,4.5e+07,95149435,"2004-08-06"
"95","cedar rapids",52067,"anne heche","miguel arteta",0,"comedy","[{'id': 35, 'name': 'Comedy'}]","Ad Hominem Enterprises",87,1e+07,6861102,"2011-02-11"
"96","steamboy",8953,"anne suzuki","katsuhiro otomo",20000000,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]","Bandai Visual Company",126,2e+07,468867,"2004-07-17"
"97","the face of love",214086,"annette bening","arie posin",4000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Mockingbird Pictures",92,4e+06,385069,"2013-10-25"
"98","grace",319986,"annika marks","heath jones",0,"drama","[{'id': 18, 'name': 'Drama'}]","Dolger Films",95,5e+06,8297,"2014-04-18"
"99","king s ransom",27360,"anthony anderson","jeffrey w byrd",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",NA,95,2.5e+07,4008527,"2005-04-22"
"100","bad company",3132,"anthony hopkins","joel schumacher",70000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","Jerry Bruckheimer Films",116,7e+07,30157016,"2002-06-07"
"101","red dragon",9533,"anthony hopkins","brett ratner",78000000,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","Universal Pictures",124,7.8e+07,92955420,"2002-09-29"
"102","once upon a time in mexico",1428,"antonio banderas","robert rodriguez",29000000,"action","[{'id': 28, 'name': 'Action'}]","Columbia Pictures Corporation",102,2.9e+07,56330657,"2003-09-11"
"103","spy kids 2 the island of lost dreams",9488,"antonio banderas","robert rodriguez",38000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","Dimension Films",100,3.8e+07,85846296,"2002-08-07"
"104","the last stand",76640,"arnold schwarzenegger","kim jee woon",30000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","Di Bonaventura Pictures",107,3e+07,12050299,"2013-01-12"
"105","maggie",287424,"arnold schwarzenegger","henry hobson",4000000,"horror","[{'id': 27, 'name': 'Horror'}]","Lionsgate",95,4500000,187112,"2015-05-08"
"106","terminator 3 rise of the machines",296,"arnold schwarzenegger","jonathan mostow",200000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","Columbia Pictures",109,1.7e+08,150358296,"2003-07-02"
"107","kubo and the two strings",313297,"art parkinson","travis knight",60000000,"animation","[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","Laika Entertainment",102,5.5e+07,48023088,"2016-08-18"
"108","someone like you ",12658,"ashley judd","tony goldwyn",23000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","Fox 2000 Pictures",97,2.3e+07,27338033,"2001-03-30"
"110","high crimes",11560,"ashley judd","carl franklin",42000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","Twentieth Century Fox Film Corporation",115,4.2e+07,41543207,"2002-04-03"
"112","come early morning",7547,"ashley judd","joey lauren adams",6000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Firm Films",97,6e+06,119452,"2006-01-10"
"114","just married",12090,"ashton kutcher","shawn levy",18000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Twentieth Century Fox Film Corporation",95,1.9e+07,56127162,"2003-01-09"
"115","jobs",115782,"ashton kutcher","joshua michael stern",12000000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","Open Road Films",128,1.8e+07,16131410,"2013-08-16"
"116","my boss s daughter",2830,"ashton kutcher","david zucker",14000000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","Dimension Films",83,1.4e+07,15549702,"2003-08-21"
"117","the to do list",129139,"aubrey plaza","maggie carey",1500000,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","3 Arts Entertainment",104,1500000,3491669,"2013-07-24"
"118","moana",277834,"auli i cravalho","ron clements",150000000,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]","Walt Disney Pictures",107,1.5e+08,248757044,"2016-11-23"
"119","knockaround guys",7501,"barry pepper","brian koppelman",15000000,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","Lawrence Bender Productions",92,1.5e+07,11660180,"2001-09-07"
"120","sorority boys",6020,"barry watson","wallace wolodarsky",12000000,"comedy","[{'id': 35, 'name': 'Comedy'}]","Touchstone Pictures",93,1.2e+07,10198766,"2002-03-22"
"121","les triplettes de belleville",9662,"béatrice bonifassi","sylvain chomet",8000000,"adventure","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Sony Pictures Classics",80,2e+06,7301288,"2003-06-11"
"122","live by night",259695,"ben affleck","ben affleck",108000000,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","Appian Way",129,6.5e+07,10378555,"2016-12-25"
"123","daredevil",9480,"ben affleck","mark steven johnson",78000000,"fantasy","[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","Twentieth Century Fox Film Corporation",103,8e+07,102543518,"2003-02-14"
"124","runner runner",146238,"ben affleck","brad furman",30000000,"crime","[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","Double Feature Films",91,3e+07,19316646,"2013-09-24"
"125","argo",68734,"ben affleck","ben affleck",44500000,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","GK Films",120,44500000,136025503,"2012-10-11"
"126","gigli",8046,"ben affleck","martin brest",54000000,"drama","[{'id': 18, 'name': 'Drama'}]","City Light Films",121,5.4e+07,6087542,"2003-08-01"
"127","gone girl",210577,"ben affleck","david fincher",61000000,"mystery","[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","Twentieth Century Fox Film Corporation",145,6.1e+07,167767189,"2014-10-01"
