"","id","budget","1st genre","original_title","1st production company","release_date","revenue","runtime"
"3290","462","52000000","drama","erin brockovich","jersey films",2000-03-17,256271286,131
"3291","9532","23000000","horror","final destination","new line cinema",2000-03-16,53302314,98
"3333","2085","25000000","action","romeo must die","silver pictures",2000-03-20,91036760,115
"3334","13539","0","romance","here on earth","fox 2000 pictures",2000-03-23,0,96
"3335","16222","15000000","drama","whatever it takes","columbia pictures corporation",2000-03-31,9902115,94
"3338","37722","8500000","drama","waking the dead","egg pictures",2000-03-23,327418,105
"3362","243","30000000","comedy","high fidelity","buena vista",2000-03-17,47126295,113
"3363","10501","95000000","adventure","the road to el dorado","dreamworks skg",2000-03-31,76432727,89
"3364","11478","15000000","crime","the skulls","universal pictures",2000-03-31,35007180,106
"3390","10559","31000000","crime","frequency","new line cinema",2000-04-28,68106245,118
"3391","20697","24000000","action","ready to rumble","bel air entertainment",2000-04-07,12372410,107
"3392","2621","24000000","romance","return to me","metro-goldwyn-mayer (mgm)",2000-04-07,36609995,115
"3393","10479","60000000","action","rules of engagement","paramount pictures",2000-04-07,7.1e+07,128
"3394","125709","0","drama","joe gould's secret",NA,2000-01-21,0,104
"3395","49721","0","comedy","me myself i","gaumont",2000-04-20,369975,104
"3413","10468","43000000","comedy","28 days","columbia pictures",2000-04-06,0,103
"3414","1359","7000000","thriller","american psycho","lions gate films",2000-04-13,34266564,102
"3415","4967","30000000","comedy","keeping the faith","spyglass entertainment",2000-04-14,37036004,127
"3416","31776","0","comedy","where the money is","gramercy pictures",2000-04-14,0,89
"3418","27745","0","documentary","the filth and the fury","film4",2000-03-29,0,108
"3419","19214","0","drama","passion of mind",NA,2000-01-07,0,105
"3432","18041","14000000","drama","gossip","village roadshow pictures",2000-04-21,5108820,90
"3433","14736","20000000","action","love & basketball","40 acres & a mule filmworks",2000-04-21,27728118,124
"3434","3536","62000000","action","u-571","universal pictures",2000-04-20,127666415,116
"3441","40562","3000000","comedy","committed","miramax films",2000-01-21,0,98
"3442","9456","10000000","action","the crow: salvation","jeff most productions",2000-10-31,0,102
"3443","889","83000000","science fiction","the flintstones in viva rock vegas","universal pictures",2000-04-28,59468275,90
"3444","10564","15000000","comedy","where the heart is","twentieth century fox film corporation",2000-04-27,33771174,120
"3445","15723","7000000","comedy","the big kahuna","franchise pictures",2000-04-28,3728888,90
"3449","68170","0","drama","the last september",NA,2000-04-28,0,103
"3450","36234","4000000","drama","timecode","screen gems",2000-03-22,0,97
"3457","98","103000000","action","gladiator","dreamworks skg",2000-05-01,457640427,155
"3458","21311","34000000","romance","i dreamed of africa","columbia pictures",2000-05-05,0,114
"3459","47724","0","drama","up at the villa",NA,2000-04-14,0,115
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA
"3472","5491","44000000","action","battlefield earth","franchise pictures",2000-05-10,21400000,118
"3473","10560","18000000","drama","center stage","columbia pictures",2000-05-12,17200925,115
"3475","19419","0","action","screwed","universal pictures",2000-05-12,0,81
"3476","23531","3000000","comedy","whipped","hi-rez films",2000-09-01,0,82
"3477","10688","2000000","drama","hamlet","miramax films",2000-05-12,1568749,112
"3494","10567","127500000","animation","dinosaur","walt disney pictures",2000-05-19,354248063,82
"3495","10642","0","drama","loser","columbia pictures",2000-07-21,0,98
"3496","9285","16000000","comedy","road trip","dreamworks skg",2000-05-19,119754278,93
"3497","10569","0","action","small time crooks","dreamworks skg",2000-05-19,0,94
"3502","955","125000000","adventure","mission: impossible ii","paramount pictures",2000-05-24,546388105,123
"3503","8584","55000000","adventure","shanghai noon","spyglass entertainment",2000-05-26,56932305,110
"3525","9600","30000000","crime","big momma's house","twentieth century fox film corporation",2000-05-31,173959438,98
"3596","9679","90000000","action","gone in sixty seconds","jerry bruckheimer films",2000-06-09,237202299,118
"3598","51333","13000000","comedy","love's labour's lost","miramax films",2000-03-31,299792,93
"3600","31610","0","action","trixie","sony pictures classics",2000-06-28,0,116
"3601","60005","0","comedy","american virgin",NA,2000-06-02,0,88
"3622","10571","16000000","comedy","boys and girls","punch 21 productions",2000-06-16,20627372,94
"3623","479","46000000","action","shaft","paramount pictures",2000-06-15,107196498,99
"3624","7450","75000000","animation","titan a.e.","twentieth century fox film corporation",2000-06-16,36754634,94
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA
"3630","7443","45000000","animation","chicken run","dreamworks skg",2000-06-21,224834564,84
"3631","2123","51000000","comedy","me, myself & irene","twentieth century fox film corporation",2000-06-22,149270999,116
"3632","2024","110000000","drama","the patriot","centropolis entertainment",2000-06-28,215294342,165
"3633","17711","76000000","action","the adventures of rocky & bullwinkle","universal pictures",2000-06-30,35134820,88
"3634","2133","120000000","drama","the perfect storm","warner bros.",2000-03-15,325756637,130
"3635","29946","15000000","romance","the golden bowl","merchant ivory productions",2000-05-14,0,130
"3663","4244","65000000","fantasy","the kid","walt disney pictures",2000-07-07,69700000,104
"3664","4247","19000000","comedy","scary movie","gold/miller productions",2000-07-07,278019771,88
"3669","23655","0","drama","groove",NA,2000-06-08,0,86
"3672","36657","75000000","adventure","x-men","twentieth century fox film corporation",2000-07-13,296339527,104
"3673","44490","0","comedy","chuck & buck",NA,2000-01-21,0,96
"3676","36047","15000000","thriller","the in crowd","morgan creek productions",2000-07-19,5217498,105
"3677","2655","100000000","drama","what lies beneath","dreamworks skg",2000-07-21,155464351,130
"3698","16110","0","animation","thomas and the magic railroad","destination films",2000-07-26,0,85
"3699","12107","84000000","fantasy","nutty professor ii: the klumps","imagine entertainment",2000-07-27,123307945,106
"3702","10641","65000000","drama","autumn in new york","lakeshore entertainment",2000-08-11,0,103
"3703","6282","45000000","comedy","coyote ugly","jerry bruckheimer films",2000-07-30,113916474,100
"3704","9383","95000000","action","hollow man","columbia pictures corporation",2000-08-04,190213455,112
"3705","5551","65000000","action","space cowboys","village roadshow pictures",2000-07-31,128884132,130
"3707","43079","0","comedy","mad about mambo","columbia tristar",2000-04-04,0,92
"3708","27723","1500000","comedy","psycho beach party","new oz productions",2000-08-06,0,95
"3709","2360","10000000","crime","saving grace","fine line features",2000-01-24,26330482,93
"3728","38548","0","comedy","margaret cho: i'm the one that i want",NA,2000-07-01,0,96
"3729","20438","0","comedy","the tao of steve","good machine",2000-08-04,0,87
"3730","274868","0",NA,"the tic code",NA,2000-06-01,0,91
"3734","10391","40000000","drama","bless the child","paramount pictures",2000-08-11,0,107
"3735","14195","10000000","thriller","cecil b. demented","canal+",2000-05-17,0,87
"3736","15665","0","documentary","the eyes of tammy faye",NA,2000-01-25,0,79
"3737","45905","0","comedy","the opportunists","eureka pictures",2000-05-17,0,90
"3738","10393","0","comedy","the replacements","warner bros.",2000-08-07,0,118
"3739","18168","0","comedy","about adam","bórd scannán na héireann",2000-01-28,151559,105
"3740","8843","33000000","horror","the cell","new line cinema",2000-08-17,104155843,107
"3742","23618","0","comedy","the original kings of comedy","40 acres & a mule filmworks",2000-08-18,0,115
"3743","117262","0",NA,"sunset strip","fox 2000 pictures",2000-08-18,0,90
"3756","11398","40000000","crime","the art of war","amen ra films",2000-08-23,30199105,117
"3757","161687","0","music","the ballad of ramblin' jack",NA,2000-01-26,0,112
"3758","26244","0","documentary","phish: bittersweet motel","aviva entertainment",2000-08-25,0,82
"3759","1588","28000000","comedy","bring it on","beacon communications",2000-08-25,90449929,98
"3760","287821","0","drama","catfish in black bean sauce","black hawk entertainment",2000-06-09,0,119
"3761","19150","0","action","the crew","touchstone pictures",2000-08-21,0,88
"3762","25128","0","comedy","love & sex",NA,2000-01-24,0,82
"3763","18153","0","drama","steal this movie","ardent films",2000-08-18,0,107
"3765","41282","0","comedy","skipped parts","skipped parts productions",2000-06-06,0,100
"3766","12211","25000000","action","highlander: endgame","davis-panzer productions",2000-09-01,15843608,87
"3767","137236","0",NA,"backstage","dimension films",2000-09-08,0,86
"3768","9995","0","action","turn it up","new line cinema",2000-09-06,0,86
"3769","1698","0","horror","anatomie","claussen + wöbke filmproduktion gmbh",2000-02-03,0,103
"3770","10480","24000000","comedy","nurse betty","gramercy pictures",2000-09-08,0,108
"3772","10685","33000000","mystery","the watcher","universal pictures",2000-09-08,0,96
"3773","1619","8500000","action","the way of the gun",NA,2000-09-08,19125401,119
"3774","786","60000000","drama","almost famous","columbia pictures",2000-09-15,47383689,122
"3775","14805","35000000","action","bait","castle rock entertainment",2000-09-14,0,119
"3776","51179","0","crime","circus","film development corporation",2000-05-05,0,95
"3778","18074","0","comedy","duets","hollywood pictures",2000-09-09,0,112
"3780","77332","0","romance","urbania",NA,2000-01-24,0,103
"3782","29015","0","action","the specials","brillstein-grey entertainment",2000-09-22,0,82
"3783","10562","25000000","mystery","under suspicion","revelations entertainment",2000-09-24,260562,110
"3784","201724","0",NA,"prince of central park",NA,2000-09-22,0,109
"3785","12212","14000000","horror","urban legends: final cut","original film",2000-09-19,38574362,97
"3786","14629","8000000","comedy","woman on top","fox searchlight pictures",2000-09-22,0,92
"3787","16","12800000","drama","dancer in the dark","fine line features",2000-05-17,40031879,140
"3788","13785","0","comedy","best in show","castle rock entertainment",2000-09-19,0,90
"3789","34299","0","comedy","beautiful",NA,2000-09-10,0,112
"3791","22597","1000000","comedy","the broken hearts club: a romantic comedy",NA,2000-02-01,1744858,94
"3792","19348","0","drama","girlfight","screen gems, inc.",2000-05-01,0,110
"3793","10637","30000000","drama","remember the titans","walt disney pictures",2000-09-29,136706683,113
"3819","24664","0","comedy","bamboozled","new line cinema",2000-10-06,0,135
"3820","21370","0","comedy","bootmen",NA,2000-10-05,0,89
"3821","20455","5500000","fantasy","digimon: the movie","saban entertainment",2000-03-17,0,82
"3822","10461","63600000","action","get carter","franchise pictures",2000-10-06,19412993,102
"3824","1597","55000000","comedy","meet the parents","dreamworks skg",2000-10-06,330444045,108
"3825","641","4500000","crime","requiem for a dream","artisan entertainment",2000-10-27,7390108,102
"3826","10687","10000000","drama","tigerland","regency enterprises",2000-09-22,0,101
"3827","63956","0","drama","two family house",NA,2000-01-21,0,104
"3828","6521","9000000","drama","the contender","battleplan productions",2000-10-13,0,126
"3829","10763","12000000","comedy","dr. t and the women","artisan entertainment",2000-09-13,0,121
"3831","16888","24000000","comedy","the ladies man","snl studios",2000-10-13,13700000,84
"3832","10383","0","horror","lost souls","new line cinema",2000-10-13,0,97
"3843","71","5000000","drama","billy elliot","bbc films",2000-05-18,1.1e+08,110
"3844","1636","48000000","fantasy","bedazzled","twentieth century fox film corporation",2000-10-19,90383208,93
"3845","10647","40000000","drama","pay it forward","bel air entertainment",2000-10-12,55707411,122
"3849","11531","0","mystery","book of shadows: blair witch 2","artisan entertainment",2000-10-27,0,90
"3850","24100","22000000","family","the little vampire","new line cinema",2000-10-27,13555988,95
"3851","10783","65000000","action","lucky numbers","paramount pictures",2000-10-27,0,105
"3852","47302","0","comedy","stardom",NA,2000-10-13,0,100
"3853","4327","92000000","action","charlie's angels","columbia pictures",2000-11-02,264105545,98
"3854","4958","80000000","fantasy","the legend of bagger vance","dreamworks skg",2000-11-02,39459427,126
"3855","9678","85000000","comedy","little nicky","new line cinema",2000-11-10,0,90
"3856","11978","32000000","drama","men of honor","fox 2000 pictures",2000-09-13,48814909,129
"3857","8870","80000000","thriller","red planet","village roadshow pictures",2000-11-10,33463969,106
"3858","77434","0","comedy","what's cooking?","lions gate films",2000-01-20,0,110
"3859","14295","0","drama","you can count on me","cappa productions",2000-11-17,0,111
"3862","8452","82000000","science fiction","the 6th day","phoenix pictures",2000-11-17,96085477,123
"3863","10862","35000000","drama","bounce","miramax films",2000-11-15,36779296,106
"3864","8871","123000000","family","how the grinch stole christmas","imagine entertainment",2000-11-17,345141403,104
"3866","16340","30","adventure","rugrats in paris: the movie","paramount pictures",2000-09-14,103,78
"3867","10481","85000000","comedy","102 dalmatians","walt disney pictures",2000-10-07,183611771,100
"3868","10867","0","drama","malèna","miramax films",2000-10-27,0,109
"3869","10876","13500000","drama","quills","fox searchlight pictures",2000-11-22,7060876,124
"3870","9741","75000000","science fiction","unbreakable","limited edition productions inc.",2000-11-13,248118121,106
"3871","79920","0",NA,"boys life 3","procirep",2000-11-16,0,79
"3872","146","17000000","adventure","卧虎藏龙","sony pictures classics",2000-10-01,213525736,120
"3873","11849","35000000","action","dungeons & dragons","new line cinema",2000-12-08,15185241,107
"3874","11983","65000000","action","proof of life","castle rock entertainment",2000-12-08,0,135
"3875","11678","75000000","action","vertical limit","columbia pictures corporation",2000-12-08,215663859,124
"3887","107","10000000","thriller","snatch","columbia pictures corporation",2000-09-01,83557872,103
"3889","37716","0","comedy","mr accident",NA,2000-03-24,0,89
"3890","392","25000000","comedy","chocolat","miramax films",2000-12-14,152500343,121
"3891","8859","13000000","comedy","dude, where’s my car?","twentieth century fox film corporation",2000-12-15,73180723,83
"3892","11688","100000000","adventure","the emperor's new groove","walt disney pictures",2000-12-09,169327687,78
"3893","12509","6","drama","pollock","fred berner films",2000-09-06,8,122
"3894","3981","70000000","comedy","what women want","paramount pictures",2000-12-15,374111707,127
"3895","711","43000000","drama","finding forrester","fountainbridge films",2000-12-21,80049764,136
"3896","2046","10000000","horror","the gift","lakeshore entertainment",2000-12-22,12008642,111
"3897","5001","0","drama","before night falls","el mar pictures",2000-09-03,8524534,134
"3898","8358","90000000","adventure","cast away","dreamworks skg",2000-12-22,429632142,143
"3899","5994","60000000","comedy","the family man","universal pictures",2000-12-12,0,125
"3900","25520","10000000","drama","the house of mirth","granada film productions",2000-09-23,5164404,140
"3901","1493","45000000","comedy","miss congeniality","village roadshow pictures",2000-12-14,2.12e+08,111
"3903","134","26000000","action","o brother, where art thou?","universal pictures",2000-08-30,71868327,106
"3904","62677","0","drama","songcatcher","rigas entertainment",2001-03-01,0,109
"3905","21991","0","comedy","state and main","fine line features",2000-08-26,0,102
"3906","10577","28000000","thriller","dracula 2000","neo art & logic",2000-12-22,33000337,99
"3907","21355","57000000","drama","all the pretty horses","columbia pictures",2000-12-11,0,117
"3908","29122","0","comedy","an everlasting piece","columbia pictures",2000-12-22,0,103
"3909","11973","80000000","drama","thirteen days","new line cinema",2000-12-24,34566746,145
"3910","1900","48000000","thriller","traffic","usa films",2000-12-27,207515725,147
"3911","44853","0","drama","the claim","revolution films",2000-12-29,0,120
"3912","10873","8000000","drama","shadow of the vampire","saturn films",2000-05-15,8279017,92
"3926","34794","0","horror","the st  francisville experiment",NA,2000-04-15,0,79
"3927","9989","30000000","action","antitrust","industry entertainment",2001-01-12,18195610,108
"3928","18828","0","adventure","double take","touchstone pictures",2001-01-12,0,88
"3929","9816","13000000","drama","save the last dance","mtv films",2001-01-12,91038276,112
"3930","20637","1000000","comedy","panic",NA,2000-12-01,779137,88
"3931","5955","35000000","crime","the pledge","epsilon motion pictures",2001-01-09,29400000,123
"3932","125498","0",NA,"kids world",NA,2001-12-07,0,93
"3934","220976","0","drama","the amati girls","persistent entertainment",2001-01-09,0,91
"3943","16723","11000000","crime","sugar & spice","new line cinema",2001-01-24,13276953,81
"3944","2018","35000000","comedy","the wedding planner","columbia pictures corporation",2001-01-26,94728529,103
"3946","287991","0",NA,"dog run",NA,2001-04-04,0,0
"3947","47595","0","drama","trolösa","sveriges television (svt)",2000-09-15,0,142
"3948","18856","0","drama","the invisible circus","fine line features",2001-02-23,0,93
"3949","10499","0","drama","die stille nach dem schuss",NA,2000-09-14,0,102
"3951","83500","0","comedy","two ninas",NA,2000-12-01,0,88
"3952","47943","0","comedy","harry, un ami qui vous veut du bien","diaphana films",2000-08-15,3818452,117
"4016","24940","14000000","comedy","head over heels","universal studios",2001-02-02,10424470,86
"4017","37302","0","drama","left behind","cloud ten pictures",2000-10-30,0,96
"4018","10984","0","horror","valentine","village roadshow pictures",2001-02-01,0,96
"4019","843","0","drama","花樣年華","block 2 pictures",2000-05-22,12854953,98
"4021","318","8000000","drama","the million dollar hotel","kintop pictures",2000-02-09,0,122
"4022","12806","0","drama","krampack","canal+ españa",2000-05-18,0,91
"4023","9740","87000000","crime","hannibal","universal pictures",2001-02-08,351692268,131
"4024","10878","22000000","comedy","saving silverman","village roadshow pictures",2001-02-09,19351569,90
"4025","47588","0","drama","signs & wonders","goatworks films",2001-02-09,0,105
"4026","10697","0","drama","le goût des autres","france 2 cinéma",2000-03-01,0,112
"4027","7093","35000000","history","vatel","canal plus",2000-05-01,0,125
"4028","16300","0","fantasy","down to earth","paramount pictures",2001-02-16,0,87
"4029","19405","10000000","science fiction","recess: school's out","walt disney television animation",2001-01-27,44460850,83
"4030","1921","40000000","drama","sweet november","bel air entertainment",2001-02-16,65754228,119
"4031","44412","0","comedy","company man",NA,2000-03-09,0,86
"4032","21620","0","comedy","the price of milk",NA,2000-10-13,0,87
"4033","23685","75000000","adventure","monkeybone","twentieth century fox film corporation",2001-02-23,5409517,93
"4034","12138","62000000","action","3000 miles to graceland","franchise pictures",2001-02-23,18720175,125
"4036","6073","57000000","action","the mexican","dreamworks skg",2001-03-01,147845033,123
"4037","39180","0","action","see spot run","village roadshow pictures",2001-03-02,0,94
"4038","35569","0","drama","carman: the champion",NA,2001-03-02,0,90
"4039","25208","0","drama","the caveman's valentine","franchise pictures",2001-01-19,0,105
"4040","82103","1900000","comedy","eu, tu, eles","columbia pictures corporation",2000-08-17,2070806,104
"4041","19513","0","action","series 7: the contenders","october films",2001-01-20,0,86
"4042","2749","60000000","action","15 minutes","new line cinema",2001-03-01,56359980,120
"4043","10050","10000000","comedy","get over it","miramax",2001-03-08,0,87
"4044","17203","0","comedy","blow dry","intermedia films",2001-03-01,637769,91
"4046","95682","0","documentary","long night's journey into day",NA,2000-01-29,0,94
"4097","853","68000000","war","enemy at the gates","paramount pictures",2001-03-13,96976270,131
"4098","10877","50000000","action","exit wounds","village roadshow pictures",2001-03-13,79958599,101
"4099","5257","0","history","the dish","distant horizons",2000-07-11,0,101
"4100","77","9000000","mystery","memento","summit entertainment",2000-10-11,39723096,113
"4101","20322","0","comedy","the brothers",NA,2001-03-23,0,106
"4102","10833","35000000","crime","heartbreakers","davis entertainment",2001-03-23,0,123
"4103","20309","25000000","comedy","say it isn't so","twentieth century fox film corporation",2001-03-12,0,95
"4105","12658","23000000","comedy","someone like you...","fox 2000 pictures",2001-03-30,0,97
"4106","10054","35000000","action","spy kids","dimension films",2001-03-18,147934180,88
"4107","10646","11000000","comedy","tomcats","columbia pictures",2001-03-30,23430766,95
"4108","2575","21000000","drama","the tailor of panama","columbia pictures",2001-02-11,28008462,109
"4109","55","2000000","drama","amores perros","altavista films",2000-06-16,20908467,154
"4110","65075","0","documentary","keep the river on your right: a modern cannibal tale",NA,2000-04-15,0,82
"4111","44379","0","documentary","les glaneurs et la glaneuse","ciné tamaris",2000-07-07,0,82
"4112","2043","60000000","crime","along came a spider","paramount pictures",2001-04-06,105178561,104
"4113","4133","53000000","crime","blow","new line cinema",2001-04-04,83282296,124
"4114","56715","0","comedy","just visiting","gaumont",2001-04-06,0,88
"4115","10991","16000000","adventure","pokémon 3: the movie","tv tokyo",2000-07-08,68411275,93
"4116","15940","0","comedy","beautiful creatures","dna films",2000-08-23,0,85
"4117","26791","1000000","crime","brigham city","main street movie company",2001-03-30,852206,119
"4118","44069","0","drama","روزی که زن شدم","makhmalbaf productions",2000-09-01,0,74
"4119","68894","0","drama","shadow magic",NA,2000-09-08,0,116
"4120","634","25000000","comedy","bridget jones's diary","miramax films",2001-04-13,281929795,97
"4121","10956","17700000","mystery","joe dirt","columbia pictures",2001-04-10,30987695,91
"4122","19366","22000000","comedy","josie and the pussycats","universal pictures",2001-04-06,0,98
"4123","136558","0","comedy","kingdom come",NA,2011-01-01,0,88
"4124","28308","0","drama","the body","helkon media ag",2001-04-13,0,109
"4125","9519","0","crime","chopper","pariah entertainment group",2000-06-21,236185,94
"4126","13898","0","drama","دایره","jafar panahi film productions",2000-09-08,0,90
"4127","196280","0",NA,"lakeboat",NA,2000-04-13,0,98
"4128","9290","21150000","adventure","crocodile dundee in los angeles","bungalow productions",2001-04-12,39438674,92
"4129","13166","0","comedy","freddy got fingered","regency enterprises",2001-04-18,0,87
"4130","32590","0","drama","the center of the world","redeemable features",2001-04-19,0,88
"4131","109472","0","drama","ek je aachhe kanya",NA,2001-06-06,0,0
"4132","153141","0","romance","the low down","oil factory",2001-01-26,32395,96
"4133","52654","0","romance","the luzhin defence",NA,2000-08-21,0,109
"4138","10477","94000000","action","driven","epsilon motion pictures",2001-04-27,54744738,116
"4139","12484","5000000","action","the forsaken","screen gems",2001-04-27,0,90
"4140","2144","0","action","one night at mccool's","usa films",2001-04-19,0,93
"4141","24113","90000000","comedy","town & country","new line cinema",2001-04-27,10372291,104
"4142","118052","0","drama","rat","universal pictures",2001-04-01,0,89
"4143","1734","98000000","adventure","the mummy returns","universal pictures",2001-04-28,433013274,130
"4144","38047","0","drama","yûrika","dentsu music and entertainment",2000-05-18,0,217
"4146","4973","0","drama","sous le sable","fidélité productions",2000-09-11,0,92
"4172","9476","65000000","adventure","a knight's tale","columbia pictures corporation",2001-05-11,117487473,132
"4173","37691","0","comedy","bread and roses","alta films s.a.",2000-05-10,0,110
"4174","115810","0","documentary","calle 54",NA,2000-10-06,0,105
"4175","10613","0","drama","the king is alive","newmarket capital group",2000-05-11,0,110
"4176","19094","0","comedy","sordid lives","daly-harris productions",2001-05-11,1079726,111
"4177","14268","0","documentary","startup.com",NA,2001-01-01,0,107
"4178","5852","53000000","drama","angel eyes","epsilon motion pictures",2001-05-15,29700000,102
"4179","808","60000000","adventure","shrek","dreamworks skg",2001-05-16,484409218,90
"4180","49453","0","comedy","fast food fast women",NA,2000-05-15,0,95
"4181","824","52500000","drama","moulin rouge!","bazmark films",2001-03-09,179213434,127
"4183","676","140000000","history","pearl harbor","jerry bruckheimer films",2001-05-21,449220945,183
"4186","29572","0","drama","the man who cried",NA,2000-08-29,0,96
"4187","48109","0","drama","our song","journeyman pictures",2000-01-21,0,95
"4188","291675","0",NA,"gabriela",NA,2001-02-14,0,0
"4207","25538","0","drama","一一","omega project",2000-09-20,0,173
"4213","11090","22000000","action","the animal","revolution studios",2001-06-01,84772742,84
"4214","14034","45000000","action","what's the worst that could happen?","metro-goldwyn-mayer (mgm)",2001-05-31,0,94
"4215","21056","0","drama","big eden","chaiken films",2000-04-18,512451,117
"4216","9397","80000000","action","evolution","dreamworks skg",2001-06-08,98376292,101
"4217","9705","102000000","action","swordfish","village roadshow pictures",2001-06-07,147080413,99
"4218","26475","0","comedy","the anniversary party","fine line features",2001-05-15,0,115
"4219","56934","0","romance","bride of the wind",NA,2001-06-08,0,99
"4220","29937","0","comedy","musíme si pomáhat","ceská televize",2000-03-16,0,120
"4221","49922","0","comedy","whatever happened to harold smith?","october films",2000-03-10,0,95
"4238","52616","0","war","pavilion of women",NA,2001-03-16,0,116
"4239","10865","120000000","animation","atlantis: the lost empire","walt disney pictures",2001-06-02,186053725,95
"4240","1995","115000000","adventure","lara croft: tomb raider","paramount pictures",2001-06-11,274703340,100
"4241","10808","70000000","comedy","dr. dolittle 2","twentieth century fox film corporation",2001-06-22,176104344,87
"4242","9799","38000000","action","the fast and the furious","universal pictures",2001-06-22,207283925,106
"4243","644","100000000","drama","a.i. artificial intelligence","dreamworks skg",2001-06-29,235926552,146
"4244","16161","16000000","crime","baby boy","columbia pictures",2001-06-27,29381649,130
"4245","10691","13000000","drama","crazy/beautiful","touchstone pictures",2001-06-29,16929123,99
"4246","10615","0","action","pootie tang",NA,2001-06-29,0,81
"4248","21488","0","comedy","drôle de félix","pyramide productions",2000-04-19,0,95
"4249","59733","0","music","down from the mountain",NA,2001-06-05,0,98
"4250","271462","0","romance","russian doll","beyond films",2001-06-14,0,90
"4251","11826","5000000","crime","sexy beast","fox searchlight pictures",2000-09-13,0,89
"4253","9301","0","romance","der krieger und die kaiserin","x-filme creative pool",2000-10-12,0,135
"4254","11444","0","comedy","le placard","gaumont",2001-01-17,0,84
"4256","60670","2365000","crime","les rivières pourpres","gaumont international",2000-09-26,0,106
"4257","55551","0","drama","lumumba",NA,2000-05-13,0,115
"4258","40880","0","drama","pandaemonium","arts council of england",2001-06-29,0,124
"4259","10992","60000000","comedy","cats & dogs","village roadshow pictures",2001-07-04,93375151,87
"4260","2140","25000000","action","kiss of the dragon","twentieth century fox film corporation",2001-07-06,64437847,98
"4261","4248","45000000","comedy","scary movie 2","gold/miller productions",2001-07-04,141220678,83
"4262","17612","0","drama","lost and delirious","cité-amérique",2001-01-21,0,103
"4263","3134","0","crime","baise-moi","toute premiere fois",2000-06-28,940944,77
"4264","34899","0","drama","mùa hè chiều thẳng đứng","arte france cinéma",2000-05-24,0,112
"4319","2114","137000000","adventure","final fantasy: the spirits within","columbia pictures",2001-07-02,85131830,106
"4320","8835","18000000","comedy","legally blonde","marc platt productions",2001-07-13,141774679,96
"4321","11371","68000000","action","the score","paramount pictures",2001-07-13,71069884,124
