Position,Const,Created,Modified,Description,Name,Known For,Birth Date
81,nm0000377,2012-08-21,2012-08-21,,Richard Dreyfuss,The Goodbye Girl,1947-10-29
82,nm0000379,2012-08-21,2012-08-21,,Kirsten Dunst,Spider-Man,1982-04-30
83,nm0000469,2012-08-21,2012-08-21,,James Earl Jones,Rogue One,1931-01-17
84,nm0000142,2012-08-21,2012-08-21,,Clint Eastwood,Unforgiven,1930-05-31
85,nm0001182,2012-08-21,2012-08-21,,Carmen Electra,Scary Movie 4,1972-04-20
86,nm0002436,2012-08-21,2012-08-21,,Shannon Elizabeth,American Pie,1973-09-07
87,nm0001512,2012-08-21,2012-08-21,,Mary Elizabeth Mastrantonio,The Abyss,1958-11-17
88,nm0000391,2012-08-21,2012-08-21,,Rupert Everett,My Best Friend's Wedding,1959-05-29
89,nm0266824,2012-08-21,2012-08-21,,Dakota Fanning,War of the Worlds,1994-02-23
90,nm0267506,2012-08-21,2012-08-21,,Anna Faris,The House Bunny,1976-11-29
91,nm0268199,2012-08-21,2012-08-21,,Colin Farrell,The Lobster,1976-05-31
92,nm0269463,2012-08-21,2012-08-21,,Jon Favreau,Chef,1966-10-19
93,nm0002071,2012-08-21,2012-08-21,,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,1967-07-16
94,nm0000398,2012-08-21,2012-08-21,,Sally Field,Forrest Gump,1946-11-06
95,nm0000146,2012-08-21,2012-08-21,,Ralph Fiennes,The Grand Budapest Hotel,1962-12-22
96,nm0000147,2012-08-21,2012-08-21,,Colin Firth,A Single Man,1960-09-10
97,nm0000401,2012-08-21,2012-08-21,,Laurence Fishburne,The Matrix,1961-07-30
98,nm0000402,2012-08-21,2012-08-21,,Carrie Fisher,Star Wars,1956-10-21
99,nm0279545,2012-08-21,2012-08-21,,Isla Fisher,Wedding Crashers,1976-02-03
100,nm0000404,2012-08-21,2012-08-21,,Jane Fonda,Barbarella,1937-12-21
101,nm0000148,2012-08-21,2012-08-21,,Harrison Ford,The Fugitive,1942-07-13
102,nm0000149,2012-08-21,2012-08-21,,Jodie Foster,The Silence of the Lambs,1962-11-19
103,nm1083271,2012-08-21,2012-08-21,,Megan Fox,Transformers,1986-05-16
104,nm0000150,2012-08-21,2012-08-21,,Michael J. Fox,Back to the Future,1961-06-09
105,nm0290556,2012-08-21,2012-08-21,,James Franco,127 Hours,1978-04-19
106,nm0000409,2012-08-21,2012-08-21,,Brendan Fraser,The Mummy,1968-12-03
107,nm0000151,2012-08-21,2012-08-21,,Morgan Freeman,Se7en,1937-06-01
108,nm0004950,2012-08-21,2012-08-21,,Jennifer Garner,Alias,1972-04-17
109,nm0000414,2012-08-21,2012-08-21,,Teri Garr,Close Encounters of the Third Kind,1947-12-11
110,nm0000152,2012-08-21,2012-08-21,,Richard Gere,Chicago,1949-08-31
111,nm0000415,2012-08-21,2012-08-21,,Jami Gertz,Twister,1965-10-28
112,nm0000154,2012-08-21,2012-08-21,,Mel Gibson,Braveheart,1956-01-03
113,nm0000418,2012-08-21,2012-08-21,,Danny Glover,Lethal Weapon,1946-07-22
114,nm0000155,2012-08-21,2012-08-21,,Whoopi Goldberg,Ghost,1955-11-13
115,nm0000156,2012-08-21,2012-08-21,,Jeff Goldblum,Jurassic Park,1952-10-22
116,nm0000420,2012-08-21,2012-08-21,,Valeria Golino,Rain Man,1965-10-22
117,nm0000421,2012-08-21,2012-08-21,,Cuba Gooding Jr.,Jerry Maguire,1968-01-02
118,nm0001287,2012-08-21,2012-08-21,,Heather Graham,Austin Powers: The Spy Who Shagged Me,1970-01-29
119,nm0000424,2012-08-21,2012-08-21,,Hugh Grant,Love Actually,1960-09-09
120,nm0001303,2012-08-21,2012-08-21,,Carla Gugino,Watchmen,1971-08-29
121,nm0350453,2012-08-21,2012-08-21,,Jake Gyllenhaal,Nightcrawler,1980-12-19
122,nm0000432,2012-08-21,2012-08-21,,Gene Hackman,The French Connection,1930-01-30
123,nm0000434,2012-08-21,2012-08-21,,Mark Hamill,Star Wars,1951-09-25
124,nm0000157,2012-08-21,2012-08-21,,Linda Hamilton,Terminator 2: Judgment Day,1956-09-26
125,nm0000158,2012-08-21,2012-08-21,,Tom Hanks,Cast Away,1956-07-09
126,nm0000437,2012-08-21,2012-08-21,,Woody Harrelson,True Detective,1961-07-23
127,nm0000438,2012-08-21,2012-08-21,,Ed Harris,The Truman Show,1950-11-28
128,nm0001326,2012-08-21,2012-08-21,,Josh Hartnett,Lucky Number Slevin,1978-07-21
129,nm0004266,2012-08-21,2012-08-21,,Anne Hathaway,Les Misérables,1982-11-12
130,nm0000443,2012-08-21,2012-08-21,,Goldie Hawn,Overboard,1945-11-21
131,nm0000161,2012-08-21,2012-08-21,,Salma Hayek,Frida,1966-09-02
132,nm0001337,2012-08-21,2012-08-21,,Katherine Heigl,One for the Money,1978-11-24
133,nm1706767,2012-08-21,2012-08-21,,Jonah Hill,21 Jump Street,1983-12-20
134,nm0000163,2012-08-21,2012-08-21,,Dustin Hoffman,Tootsie,1937-08-08
135,nm0005017,2012-08-21,2012-08-21,,Katie Holmes,Batman Begins,1978-12-18
136,nm0000164,2012-08-21,2012-08-21,,Anthony Hopkins,The Silence of the Lambs,1937-12-31
137,nm0005028,2012-08-21,2012-08-21,,Kate Hudson,Almost Famous,1979-04-19
138,nm0000166,2012-08-21,2012-08-21,,Helen Hunt,As Good as It Gets,1963-06-15
139,nm0000167,2012-08-21,2012-08-21,,Elizabeth Hurley,Austin Powers: International Man of Mystery,1965-06-10
140,nm0000460,2012-08-21,2012-08-21,,Jeremy Irons,Dead Ringers,1948-09-19
141,nm0413168,2012-08-21,2012-08-21,,Hugh Jackman,Les Misérables,1968-10-12
142,nm0000168,2012-08-21,2012-08-21,,Samuel L. Jackson,Pulp Fiction,1948-12-21
143,nm0000492,2012-08-21,2012-08-21,,Jennifer Jason Leigh,The Hateful Eight,1962-02-05
144,nm0000463,2012-08-21,2012-08-21,,Famke Janssen,X-Men: The Last Stand,1964-11-05
145,nm0000572,2012-08-21,2012-08-21,,Sarah Jessica Parker,Sex and the City,1965-03-25
146,nm0424060,2012-08-21,2012-08-21,,Scarlett Johansson,Lost in Translation,1984-11-22
147,nm0425005,2012-08-21,2012-08-21,,Dwayne Johnson,Jumanji: Welcome to the Jungle,1972-05-02
148,nm0001401,2012-08-21,2012-08-21,,Angelina Jolie,Maleficent,1975-06-04
149,nm0000171,2012-08-21,2012-08-21,,Ashley Judd,Double Jeopardy,1968-04-19
150,nm0000473,2012-08-21,2012-08-21,,Diane Keaton,Annie Hall,1946-01-05
151,nm0000474,2012-08-21,2012-08-21,,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),1951-09-05
152,nm0452288,2012-08-21,2012-08-21,,Margot Kidder,Superman,1948-10-17
153,nm0000173,2012-08-21,2012-08-21,,Nicole Kidman,Moulin Rouge!,1967-06-20
154,nm0000174,2012-08-21,2012-08-21,,Val Kilmer,Kiss Kiss Bang Bang,1959-12-31
155,nm0461136,2012-08-21,2012-08-21,,Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,1985-03-26
156,nm0005109,2012-08-21,2012-08-21,,Mila Kunis,Black Swan,1983-08-14
157,nm0479471,2012-08-21,2012-08-21,,Shia LaBeouf,Honey Boy,1986-06-11
158,nm0000178,2012-08-21,2012-08-21,,Diane Lane,Unfaithful,1965-01-22
159,nm0001448,2012-08-21,2012-08-21,,Jessica Lange,Tootsie,1949-04-20
160,nm0001451,2012-08-21,2012-08-21,,Queen Latifah,Hairspray,1970-03-18
161,nm0000179,2012-08-21,2012-08-21,,Jude Law,The Talented Mr. Ripley,1972-12-29
162,nm2225369,2012-08-21,2012-08-21,,Jennifer Lawrence,The Hunger Games,1990-08-15
163,nm0000489,2012-08-21,2012-08-21,,Christopher Lee,Star Wars: Episode II - Attack of the Clones,1922-05-27
164,nm0000130,2012-08-21,2012-08-21,,Jamie Lee Curtis,True Lies,1958-11-22
165,nm0000169,2012-08-21,2012-08-21,,Tommy Lee Jones,The Fugitive,1946-09-15
166,nm0000495,2012-08-21,2012-08-21,,Téa Leoni,The Family Man,1966-02-25
167,nm0001473,2012-08-21,2012-08-21,,Laura Linney,The Big C,1964-02-05
168,nm0005154,2012-08-21,2012-08-21,,Lucy Liu,Kill Bill: Vol. 1,1968-12-02
169,nm0000502,2012-08-21,2012-08-21,,Christopher Lloyd,Back to the Future,1938-10-22
170,nm0517820,2012-08-21,2012-08-21,,Lindsay Lohan,The Parent Trap,1986-07-02
171,nm0000505,2012-08-21,2012-08-21,,Nia Long,Big Momma's House,1970-10-30
172,nm0000182,2012-08-21,2012-08-21,,Jennifer Lopez,Gigli,1969-07-24
173,nm0001349,2012-08-21,2012-08-21,,Jennifer Love Hewitt,I Know What You Did Last Summer,1979-02-21
174,nm0528331,2012-08-21,2012-08-21,,Jane Lynch,Glee,1960-07-14
175,nm0000510,2012-08-21,2012-08-21,,Andie MacDowell,Groundhog Day,1958-04-21
176,nm0000187,2012-08-21,2012-08-21,,Madonna,Evita,1958-08-16
177,nm0001497,2012-08-21,2012-08-21,,Tobey Maguire,Brothers,1975-06-27
178,nm0000518,2012-08-21,2012-08-21,,John Malkovich,Being John Malkovich,1953-12-09
179,nm0000521,2012-08-21,2012-08-21,,Sophie Marceau,La boum,1966-11-17
180,nm0000188,2012-08-21,2012-08-21,,Steve Martin,Roxanne,1945-08-14
181,nm1046097,2012-08-21,2012-08-21,,Rachel McAdams,The Notebook,1978-11-17
182,nm0000190,2012-08-21,2012-08-21,,Matthew McConaughey,Dallas Buyers Club,1969-11-04
183,nm0000191,2012-08-21,2012-08-21,,Ewan McGregor,Moulin Rouge!,1971-03-31
184,nm0005212,2012-08-21,2012-08-21,,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,1939-05-25
185,nm0578949,2012-08-21,2012-08-21,,Eva Mendes,Hitch,1974-03-05
186,nm0001264,2012-08-21,2012-08-21,,Sarah Michelle Gellar,Buffy the Vampire Slayer,1977-04-14
187,nm0000541,2012-08-21,2012-08-21,,Bette Midler,The First Wives Club,1945-12-01
188,nm1157358,2012-08-21,2012-08-21,,Michelle Monaghan,Kiss Kiss Bang Bang,1976-03-23
189,nm0000193,2012-08-21,2012-08-21,,Demi Moore,G.I. Jane,1962-11-11
190,nm0000194,2012-08-21,2012-08-21,,Julianne Moore,The Kids Are All Right,1960-12-03
191,nm0001548,2012-08-21,2012-08-21,,Rick Moranis,Parenthood,1953-04-18
192,nm0001557,2012-08-21,2012-08-21,,Viggo Mortensen,Eastern Promises,1958-10-20
193,nm0000552,2012-08-21,2012-08-21,,Eddie Murphy,The Nutty Professor,1961-04-03
194,nm0000195,2012-08-21,2012-08-21,,Bill Murray,Lost in Translation,1950-09-21
195,nm0000196,2012-08-21,2012-08-21,,Mike Myers,Austin Powers: The Spy Who Shagged Me,1963-05-25
196,nm0000553,2012-08-21,2012-08-21,,Liam Neeson,Kinsey,1952-06-07
197,nm0628601,2012-08-21,2012-08-21,,Thandie Newton,Crash,1972-11-06
198,nm0000197,2012-08-21,2012-08-21,,Jack Nicholson,Chinatown,1937-04-22
199,nm0000563,2012-08-21,2012-08-21,,Chris O'Donnell,Batman & Robin,1970-06-26
200,nm0005280,2012-08-21,2012-08-21,,Rosie O'Donnell,Tarzan,1962-03-21
201,nm0001573,2012-08-21,2012-08-21,,Catherine O'Hara,Best in Show,1954-03-04
202,nm0000198,2012-08-21,2012-08-21,,Gary Oldman,Tinker Tailor Soldier Spy,1958-03-21
203,nm0000199,2012-08-21,2012-08-21,,Al Pacino,Serpico,1940-04-25
204,nm0000569,2012-08-21,2012-08-21,,Gwyneth Paltrow,Shakespeare in Love,1972-09-27
205,nm1500155,2012-08-21,2012-08-21,,Robert Pattinson,Twilight,1986-05-13
206,nm0000200,2012-08-21,2012-08-21,,Bill Paxton,Aliens,1955-05-17
207,nm0001610,2012-08-21,2012-08-21,,Elizabeth Perkins,Sharp Objects,1960-11-18
208,nm0000582,2012-08-21,2012-08-21,,Joe Pesci,Goodfellas,1943-02-09
209,nm0000201,2012-08-21,2012-08-21,,Michelle Pfeiffer,Hairspray,1958-04-29
210,nm0001618,2012-08-21,2012-08-21,,Joaquin Phoenix,Her,1974-10-28
211,nm5212293,2012-08-21,2012-08-21,,Jade Pinkett,Masterclass,
212,nm0000093,2012-08-21,2012-08-21,,Brad Pitt,Mr. & Mrs. Smith,1963-12-18
213,nm0001633,2012-08-21,2012-08-21,,Annie Potts,Toy Story 4,1952-10-28
214,nm0000204,2012-08-21,2012-08-21,,Natalie Portman,Black Swan,1981-06-09
215,nm0000597,2012-08-21,2012-08-21,,Bill Pullman,Independence Day,1953-12-17
216,nm0000598,2012-08-21,2012-08-21,,Dennis Quaid,Far from Heaven,1954-04-09
217,nm0000599,2012-08-21,2012-08-21,,Kathleen Quinlan,Apollo 13,1954-11-19
218,nm0705356,2012-08-21,2012-08-21,,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2,1989-07-23
219,nm0000206,2012-08-21,2012-08-21,,Keanu Reeves,The Matrix,1964-09-02
220,nm0005346,2012-08-21,2012-08-21,,Tara Reid,Alone in the Dark,1975-11-08
221,nm0001662,2012-08-21,2012-08-21,,Judge Reinhold,Beverly Hills Cop,1957-05-21
222,nm0005351,2012-08-21,2012-08-21,,Ryan Reynolds,Deadpool 2,1976-10-23
223,nm0000207,2012-08-21,2012-08-21,,Christina Ricci,Casper,1980-02-12
224,nm0000612,2012-08-21,2012-08-21,,Denise Richards,The World Is Not Enough,1971-02-17
225,nm0000614,2012-08-21,2012-08-21,,Alan Rickman,Die Hard,1946-02-21
226,nm0000210,2012-08-21,2012-08-21,,Julia Roberts,Pretty Woman,1967-10-28
227,nm0001674,2012-08-21,2012-08-21,,Chris Rock,Top Five,1965-02-07
228,nm0005381,2012-08-21,2012-08-21,,Rebecca Romijn,X-Men,1972-11-06
229,nm0736622,2012-08-21,2012-08-21,,Seth Rogen,This Is the End,1982-04-15
230,nm0748620,2012-08-21,2012-08-21,,Paul Rudd,Ant-Man,1969-04-06
231,nm0001691,2012-08-21,2012-08-21,,Geoffrey Rush,The King's Speech,1951-07-06
232,nm0005392,2012-08-21,2012-08-21,,Keri Russell,Waitress,1976-03-23
233,nm0000621,2012-08-21,2012-08-21,,Kurt Russell,The Hateful Eight,1951-03-17
234,nm0000623,2012-08-21,2012-08-21,,Rene Russo,Nightcrawler,1954-02-17
235,nm0000212,2012-08-21,2012-08-21,,Meg Ryan,When Harry Met Sally...,1961-11-19
236,nm0000213,2012-08-21,2012-08-21,,Winona Ryder,Little Women,1971-10-29
237,nm0757855,2012-08-21,2012-08-21,,Zoe Saldana,Avatar,1978-06-19
238,nm0001191,2012-08-21,2012-08-21,,Adam Sandler,The Waterboy,1966-09-09
239,nm0000215,2012-08-21,2012-08-21,,Susan Sarandon,Thelma & Louise,1946-10-04
240,nm0000216,2012-08-21,2012-08-21,,Arnold Schwarzenegger,Predator,1947-07-30
241,nm0000218,2012-08-21,2012-08-21,,Kristin Scott Thomas,The English Patient,1960-05-24
242,nm1086543,2012-08-21,2012-08-21,,Amanda Seyfried,Les Misérables,1985-12-03
243,nm0000224,2012-08-21,2012-08-21,,Alicia Silverstone,Clueless,1976-10-04
244,nm0001735,2012-08-21,2012-08-21,,Talia Shire,Rocky,1946-04-25
245,nm0000223,2012-08-21,2012-08-21,,Elisabeth Shue,Leaving Las Vegas,1963-10-06
246,nm0000641,2012-08-21,2012-08-21,,Gary Sinise,Forrest Gump,1955-03-17
247,nm0000225,2012-08-21,2012-08-21,,Christian Slater,True Romance,1969-08-18
248,nm0000226,2012-08-21,2012-08-21,,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
249,nm0000228,2012-08-21,2012-08-21,,Kevin Spacey,The Usual Suspects,1959-07-26
250,nm0000230,2012-08-21,2012-08-21,,Sylvester Stallone,Rocky,1946-07-06
251,nm0005460,2012-08-21,2012-08-21,,Mary Steenburgen,Last Vegas,1953-02-08
252,nm0827663,2012-08-21,2012-08-21,,Daniel Stern,City Slickers,1957-08-28
253,nm0829576,2012-08-21,2012-08-21,,Kristen Stewart,Snow White and the Huntsman,1990-04-09
254,nm0001772,2012-08-21,2012-08-21,,Patrick Stewart,Logan,1940-07-13
255,nm0005466,2012-08-21,2012-08-21,,Julia Stiles,10 Things I Hate About You,1981-03-28
256,nm0001774,2012-08-21,2012-08-21,,Ben Stiller,Tropic Thunder,1965-11-30
257,nm1297015,2012-08-21,2012-08-21,,Emma Stone,La La Land,1988-11-06
258,nm0000232,2012-08-21,2012-08-21,,Sharon Stone,Basic Instinct,1958-03-10
259,nm0000656,2012-08-21,2012-08-21,,Madeleine Stowe,Twelve Monkeys,1958-08-18
260,nm0000658,2012-08-21,2012-08-21,,Meryl Streep,Out of Africa,1949-06-22
261,nm0000234,2012-08-21,2012-08-21,,Charlize Theron,Monster,1975-08-07
262,nm0000670,2012-08-21,2012-08-21,,Lea Thompson,Back to the Future,1961-05-31
263,nm0000235,2012-08-21,2012-08-21,,Uma Thurman,Kill Bill: Vol. 1,1970-04-29
264,nm0000236,2012-08-21,2012-08-21,,Jennifer Tilly,Bound,1958-09-16
265,nm0000673,2012-08-21,2012-08-21,,Marisa Tomei,My Cousin Vinny,1964-12-04
266,nm0001802,2012-08-21,2012-08-21,,Nancy Travis,So I Married an Axe Murderer,1961-09-21
267,nm0000237,2012-08-21,2012-08-21,,John Travolta,Pulp Fiction,1954-02-18
268,nm0000675,2012-08-21,2012-08-21,,Jeanne Tripplehorn,Basic Instinct,1963-06-10
269,nm0000239,2012-08-21,2012-08-21,,Liv Tyler,Armageddon,1977-07-01
270,nm0000681,2012-08-21,2012-08-21,,Vince Vaughn,The Break-Up,1970-03-28
271,nm0000685,2012-08-21,2012-08-21,,Jon Voight,Midnight Cowboy,1938-12-29
272,nm0000242,2012-08-21,2012-08-21,,Mark Wahlberg,The Fighter,1971-06-05
273,nm0000686,2012-08-21,2012-08-21,,Christopher Walken,Hairspray,1943-03-31
274,nm0000243,2012-08-21,2012-08-21,,Denzel Washington,Fences,1954-12-28
275,nm0914612,2012-08-21,2012-08-21,,Emma Watson,The Perks of Being a Wallflower,1990-04-15
276,nm0915208,2012-08-21,2012-08-21,,Naomi Watts,Mulholland Dr.,1968-09-28
277,nm0000244,2012-08-21,2012-08-21,,Sigourney Weaver,Avatar,1949-10-08
278,nm0915989,2012-08-21,2012-08-21,,Hugo Weaving,The Lord of the Rings: The Return of the King,1960-04-04
279,nm0001838,2012-08-21,2012-08-21,,Rachel Weisz,The Constant Gardener,1970-03-07
280,nm1312575,2012-08-21,2012-08-21,,Olivia Wilde,Tron,1984-03-10
281,nm0000245,2012-08-21,2012-08-21,,Robin Williams,Mrs. Doubtfire,1951-07-21
282,nm0000246,2012-08-21,2012-08-21,,Bruce Willis,Die Hard,1955-03-19
283,nm0005562,2012-08-21,2012-08-21,,Owen Wilson,The Royal Tenenbaums,1968-11-18
284,nm0000700,2012-08-21,2012-08-21,,Debra Winger,Terms of Endearment,1955-05-16
285,nm0000701,2012-08-21,2012-08-21,,Kate Winslet,Eternal Sunshine of the Spotless Mind,1975-10-05
286,nm0000702,2012-08-21,2012-08-21,,Reese Witherspoon,Wild,1976-03-22
287,nm0000704,2012-08-21,2012-08-21,,Elijah Wood,The Lord of the Rings: The Fellowship of the Ring,1981-01-28
288,nm0941777,2012-08-21,2012-08-21,,Sam Worthington,Avatar,1976-08-02
289,nm0000705,2012-08-21,2012-08-21,,Robin Wright,Forrest Gump,1966-04-08
290,nm0000708,2012-08-21,2012-08-21,,Billy Zane,Titanic,1966-02-24
291,nm0000250,2012-08-21,2012-08-21,,Renée Zellweger,Chicago,1969-04-25
292,nm0001876,2012-08-21,2012-08-21,,Catherine Zeta-Jones,Chicago,1969-09-25
