"","original_title","id","genres","release_date","revenue","budget","runtime","popularity","production_companies","vote_average","DomesticGross","Theaters","TotalGross","ReleaseDate","Distributor","Year","FullDate"
"11","102dalmatians","10481","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2000-10-07,183611771,"85000000",100,"7.668752","[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Cruella Productions', 'id': 10472}]",5.1,"55552178","2704","66957026","Nov 22","Walt Disney Studios Motion Pictures",2000,2000-11-22
"12","102dalmatians","10481","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2000-10-07,183611771,"85000000",100,"7.668752","[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Cruella Productions', 'id': 10472}]",5.1,"9400238","2704","66957026","Nov 22","Walt Disney Studios Motion Pictures",2001,2001-11-22
"13","10cloverfieldlane","333371","[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",2016-03-10,108286421,"15000000",103,"14.421528","[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Bad Robot', 'id': 11461}, {'name': 'Spectrum Effects', 'id': 78177}]",6.8,"72082998","3427","72082998","Mar 11","Paramount Pictures",2016,2016-03-11
"14","10daysinamadhouse","345003","[{'id': 18, 'name': 'Drama'}]",2015-11-20,0,"1200000",111,"1.034954","[]",4.3,"14616","10","14616","Nov 11","-",2015,2015-11-11
"15","10itemsorless","2357","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2006-09-11,580527,"0",81,"3.898236","[{'name': 'Revelations Entertainment', 'id': 906}, {'name': 'Mockingbird Pictures', 'id': 1092}, {'name': 'Reveal Entertainment', 'id': 41251}]",6.6,"83291","15","83291","Dec 1","THINKFilm",2006,2006-12-01
"16","10questionsforthedalailama","10884","[{'id': 99, 'name': 'Documentary'}]",2006-05-01,0,"0",85,"0.721105","[]",6.3,"99881","11","224546","Apr 27","Monterey Media",2007,2007-04-27
"17","10th&wolf","13197","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2006-02-19,143451,"8000000",107,"3.034823","[{'name': 'Thinkfilm', 'id': 446}]",6.3,"54702","6","54702","Aug 18","THINKFilm",2006,2006-08-18
"18","10timertilparadis","84344","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2012-01-22,0,"0",92,"1.481425","[{'name': 'Minerva Film SpA', 'id': 153}, {'name': 'SF Film', 'id': 5674}]",6.8,"16000","2","16000","Aug 22","Film Movement",2012,2012-08-22
"19","10years","58547","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2011-09-12,201146,"0",100,"8.881954","[{'name': 'Anchor Bay Films', 'id': 5860}, {'name': 'Temple Hill Entertainment', 'id': 12292}, {'name': 'Boss Media', 'id': 27050}, {'name': '33andOut Productions', 'id': 34035}, {'name': 'Iron Horse Entertainment (II)', 'id': 34981}]",5.7,"203373","63","203373","Sep 14","Anchor Bay Films",2012,2012-09-14
"20","11-11-11","51248","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2011-11-11,0,"0",90,"3.99161","[{'name': 'Canonigo Films', 'id': 7660}, {'name': 'Black Flag', 'id': 9968}, {'name': 'Capacity Pictures', 'id': 50491}]",4.3,"32771","17","32771","Nov 11","Rocket Releasing",2011,2011-11-11
"21","12","20714","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",2007-06-06,7537453,"4000000",159,"6.975759","[{'name': 'Mosfilm', 'id': 5120}, {'name': 'venezia 64', 'id': 5847}]",6.6,"125120","20","125120","Mar 4","Sony Pictures Classics",2009,2009-03-04
"22","127hours","44115","[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2010-11-05,35692920,"18000000",94,"11.176797","[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Cloud Eight Films', 'id': 6708}, {'name': 'Pathé', 'id': 7981}, {'name': 'Film4', 'id': 9349}, {'name': 'Everest Entertainment', 'id': 10892}, {'name': 'HandMade Films', 'id': 20076}]",7,"10203228","916","18335230","Nov 5","Fox Searchlight Pictures",2010,2010-11-05
"23","127hours","44115","[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2010-11-05,35692920,"18000000",94,"11.176797","[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Cloud Eight Films', 'id': 6708}, {'name': 'Pathé', 'id': 7981}, {'name': 'Film4', 'id': 9349}, {'name': 'Everest Entertainment', 'id': 10892}, {'name': 'HandMade Films', 'id': 20076}]",7,"8132002","916","18335230","Nov 5","Fox Searchlight Pictures",2011,2011-11-05
"24","12rounds","17134","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2009-03-19,17280326,"20000000",108,"13.591485","[{'name': 'The Mark Gordon Company', 'id': 1557}, {'name': 'Fox Atomic', 'id': 2890}, {'name': '20th Century Fox Home Entertainment', 'id': 3635}, {'name': 'WWE Studios', 'id': 10339}, {'name': 'Midnight Sun Pictures', 'id': 17887}]",5.7,"12234694","2331","12234694","Mar 27","Twentieth Century Fox",2009,2009-03-27
"25","12yearsaslave","76203","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",2013-10-18,1.87e+08,"20000000",134,"30.316249","[{'name': 'Plan B Entertainment', 'id': 81}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'River Road Entertainment', 'id': 1246}, {'name': 'Film4', 'id': 9349}, {'name': 'New Regency Pictures', 'id': 10104}]",7.9,"37951371","1474","56671993","Oct 18","Fox Searchlight Pictures",2013,2013-10-18
"26","12yearsaslave","76203","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",2013-10-18,1.87e+08,"20000000",134,"30.316249","[{'name': 'Plan B Entertainment', 'id': 81}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'River Road Entertainment', 'id': 1246}, {'name': 'Film4', 'id': 9349}, {'name': 'New Regency Pictures', 'id': 10104}]",7.9,"18720622","1474","56671993","Oct 18","Fox Searchlight Pictures",2014,2014-10-18
"27","13b:fearhasanewaddress","19950","[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2009-03-06,0,"0",137,"1.39827","[{'name': 'Reliance Big Pictures', 'id': 6583}]",5.7,"36594","6","36594","Mar 6","Adlabs Films",2009,2009-03-06
"28","13goingon30","10096","[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",2004-04-13,96455697,"37000000",98,"12.632595","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Revolution Studios', 'id': 497}, {'name': 'Thirteen Productions', 'id': 19636}]",6.3,"57231747","3453","57231747","Apr 23","Revolution Studios",2004,2004-04-23
"29","13sins","155084","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2014-04-18,13809,"5000000",93,"9.067788","[{'name': 'Sahamongkol Film International', 'id': 6018}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'IM Global', 'id': 7437}, {'name': 'Automatik Entertainment', 'id': 7625}, {'name': 'Radius-TWC', 'id': 20671}, {'name': 'Little Magic Films', 'id': 26470}]",6.2,"13809","45","13809","Apr 18","RADiUS-TWC",2014,2014-04-18
"30","13tzameti","6077","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2005-09-01,767311,"0",93,"2.38476","[{'name': 'Weltecho', 'id': 1990}, {'name': 'Solimane Productions', 'id': 2038}]",6.9,"121390","6","121390","Jul 28","Palm Pictures",2006,2006-07-28
"31","1408","3021","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2007-07-12,94679598,"25000000",104,"9.196884","[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Dimension Films', 'id': 7405}]",6.5,"71985628","2733","71985628","Jun 22","-",2007,2007-06-22
"32","15","141241","[]",2005-10-21,28,"0",95,"0.03856","[{'name': 'Media Pro Pictures', 'id': 3244}, {'name': 'Cine TV Film Production', 'id': 11216}]",8,"3013","1","3013","Apr 13","-",2005,2005-04-13
"33","15minutes","2749","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2001-03-01,56359980,"60000000",120,"12.149946","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Industry Entertainment', 'id': 376}, {'name': 'Tribeca Productions', 'id': 11391}, {'name': 'New Redemption Pictures', 'id': 67171}]",5.7,"24403552","2337","24403552","Mar 9","New Line Cinema",2001,2001-03-09
"34","16blocks","2207","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2006-03-01,65664721,"55000000",105,"11.887779","[{'name': ""Donners' Company"", 'id': 431}, {'name': 'Cheyenne Enterprises', 'id': 890}, {'name': 'Alcon Entertainment', 'id': 1088}, {'name': 'Nu Image Entertainment GmbH', 'id': 4741}, {'name': 'Millennium Films', 'id': 10254}, {'name': 'Emmett/Furla Films', 'id': 10405}, {'name': 'Equity Pictures Medienfonds GmbH & Co. KG III', 'id': 10885}, {'name': '16 Block Productions', 'id': 10886}]",6.2,"36895141","2706","36895141","Mar 3","Warner Bros.",2006,2006-03-03
"35","16yearsofalcohol","29656","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",2003-08-14,0,"0",102,"1.129269","[{'name': 'Tartan Works Ltd.', 'id': 75045}]",6.8,"8128","2","8046","Mar 15","Tartan",2005,2005-03-15
"36","17again","16996","[{'id': 35, 'name': 'Comedy'}]",2009-03-11,136267476,"20000000",102,"11.362762","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Offspring Entertainment', 'id': 2378}]",6.1,"64167069","3255","64167069","Apr 17","Warner Bros.",2009,2009-04-17
"37","180°south","39333","[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",2010-02-10,0,"0",86,"1.005463","[]",6.6,"31745","4","31745","May 21","Magnolia Pictures",2010,2010-05-21
"38","1915","332286","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",2015-04-17,0,"0",82,"0.954477","[]",6,"15000","10","111682","Apr 17","-",2016,2016-04-17
"39","1915","332286","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",2015-04-17,0,"0",82,"0.954477","[]",6,"96682","10","111682","Apr 17","-",2015,2015-04-17
"40","2:22","25038","[{'id': 53, 'name': 'Thriller'}]",2008-09-24,0,"0",104,"5.543966","[{'name': 'Lab4 Productions', 'id': 24093}]",5.2,"422","3","422","Jun 30","Magnolia Pictures",2017,2017-06-30
"41","2:22","269795","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2017-06-29,422,"0",99,"37.484577","[{'name': 'Pandemonium', 'id': 8915}, {'name': 'Lightstream Entertainment', 'id': 69756}]",5.5,"422","3","422","Jun 30","Magnolia Pictures",2017,2017-06-30
"42","20,000daysonearth","246400","[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",2014-07-05,0,"0",97,"11.922021","[{'name': 'British Film Institute (BFI)', 'id': 7281}, {'name': 'Film4', 'id': 9349}, {'name': 'Corniche Pictures', 'id': 20273}]",7,"2465","28","279558","Sep 17","Drafthouse Films",2015,2015-09-17
"43","20,000daysonearth","246400","[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",2014-07-05,0,"0",97,"11.922021","[{'name': 'British Film Institute (BFI)', 'id': 7281}, {'name': 'Film4', 'id': 9349}, {'name': 'Corniche Pictures', 'id': 20273}]",7,"277091","28","279558","Sep 17","Drafthouse Films",2014,2014-09-17
"44","2012","14161","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2009-10-10,769653595,"200000000",158,"16.698628","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Centropolis Entertainment', 'id': 347}, {'name': 'The Mark Gordon Company', 'id': 1557}, {'name': 'Farewell Productions', 'id': 10905}]",5.6,"3763166","3444","166112167","Nov 13","Sony Pictures Releasing",2010,2010-11-13
"45","2012","14161","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2009-10-10,769653595,"200000000",158,"16.698628","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Centropolis Entertainment', 'id': 347}, {'name': 'The Mark Gordon Company', 'id': 1557}, {'name': 'Farewell Productions', 'id': 10905}]",5.6,"162349001","3444","166112167","Nov 13","Sony Pictures Releasing",2009,2009-11-13
"46","2012:timeforchange","48752","[{'id': 16, 'name': 'Animation'}, {'id': 99, 'name': 'Documentary'}]",2010-10-08,0,"0",85,"0.130351","[{'name': 'Mangusta Productions', 'id': 3728}]",5,"68339","2","68339","Apr 9","Mangusta Productions",2010,2010-04-09
"47","2016:obama'samerica","126509","[{'id': 99, 'name': 'Documentary'}]",2012-07-13,33400000,"2500000",87,"1.221216","[]",4.6,"33448794","2017","33449086","Jul 13","Rocky Mountain Pictures",2012,2012-07-13
"48","2046","844","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",2004-05-20,19271312,"12000000",129,"7.157169","[{'name': 'Paradis Films', 'id': 255}, {'name': 'Orly Films', 'id': 354}, {'name': 'Shanghai Film Group Corporation', 'id': 19858}, {'name': 'Jet Tone Films', 'id': 26492}]",6.9,"1444588","61","1444588","Aug 5","Sony Pictures Classics",2005,2005-08-05
"49","20feetfromstardom","159014","[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",2013-06-14,0,"1000000",89,"8.283621","[{'name': 'Tremolo Productions', 'id': 58637}]",7.4,"4815564","147","4946445","Jun 14","RADiUS-TWC",2013,2013-06-14
"50","20feetfromstardom","159014","[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",2013-06-14,0,"1000000",89,"8.283621","[{'name': 'Tremolo Productions', 'id': 58637}]",7.4,"130880","147","4946445","Jun 14","RADiUS-TWC",2014,2014-06-14
"51","20thcenturywomen","342737","[{'id': 18, 'name': 'Drama'}]",2016-12-25,5816211,"7000000",119,"9.855927","[{'name': 'Annapurna Pictures', 'id': 13184}, {'name': 'Archer Gray', 'id': 41640}, {'name': 'Modern People', 'id': 86356}]",7.3,"137981","650","5664764","Dec 28","A24",2016,2016-12-28
"52","20thcenturywomen","342737","[{'id': 18, 'name': 'Drama'}]",2016-12-25,5816211,"7000000",119,"9.855927","[{'name': 'Annapurna Pictures', 'id': 13184}, {'name': 'Archer Gray', 'id': 41640}, {'name': 'Modern People', 'id': 86356}]",7.3,"5526783","650","5664764","Dec 28","A24",2017,2017-12-28
"53","21","8065","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",2008-03-27,69823199,"35000000",123,"8.33756","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Relativity Media', 'id': 7295}]",6.5,"81159365","2952","81159365","Mar 28","Sony Pictures Releasing",2008,2008-03-28
"54","21&over","107811","[{'id': 35, 'name': 'Comedy'}]",2013-03-01,48065672,"13000000",93,"11.29356","[{'name': 'Relativity Media', 'id': 7295}, {'name': 'Virgin Produced', 'id': 8852}, {'name': 'Mandeville Films', 'id': 10227}, {'name': 'SkyLand Entertainment', 'id': 52337}]",5.7,"25682380","2771","25682380","Mar 1","Relativity Media",2013,2013-03-01
"55","21grams","470","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2003-09-06,60427839,"20000000",124,"6.372278","[{'name': 'This Is That Productions', 'id': 10059}, {'name': 'Y Productions', 'id': 10887}, {'name': 'Mediana Productions Filmgesellschaft', 'id': 10888}]",7.2,"5564820","411","16290476","Nov 21","Focus Features",2003,2003-11-21
"56","21grams","470","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2003-09-06,60427839,"20000000",124,"6.372278","[{'name': 'This Is That Productions', 'id': 10059}, {'name': 'Y Productions', 'id': 10887}, {'name': 'Mediana Productions Filmgesellschaft', 'id': 10888}]",7.2,"10835411","411","16290476","Nov 21","Focus Features",2004,2004-11-21
"57","21jumpstreet","64688","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2012-03-12,201585328,"42000000",109,"11.250764","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Original Film', 'id': 333}, {'name': 'Stephen J. Cannell Productions', 'id': 5585}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",6.7,"138447667","3148","138447667","Mar 16","Sony Pictures Releasing",2012,2012-03-16
"58","22jumpstreet","187017","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",2014-06-05,188441614,"50000000",112,"10.901496","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Original Film', 'id': 333}, {'name': 'Media Rights Capital', 'id': 2531}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Cannell Studios', 'id': 9194}, {'name': 'LStar Capital', 'id': 34034}, {'name': '33andOut Productions', 'id': 34035}, {'name': 'JHF Productions', 'id': 34036}]",7,"191719337","3426","191719337","Jun 13","Sony Pictures Releasing",2014,2014-06-13
"59","23blast","295588","[{'id': 18, 'name': 'Drama'}]",2014-10-24,0,"0",98,"1.6757","[{'name': 'Toy Gun Films', 'id': 34233}, {'name': 'Touchdown Productions', 'id': 34234}]",6.1,"549185","617","549185","Oct 24","Ocean Avenue Entertainment",2014,2014-10-24
"60","24hourpartypeople","2750","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2002-02-13,0,"0",117,"12.655728","[{'name': 'United Artists', 'id': 60}, {'name': 'Revolution Films', 'id': 163}, {'name': 'The Film Consortium', 'id': 1218}, {'name': 'Baby Cow Productions', 'id': 1219}, {'name': 'UK Film Council', 'id': 2452}, {'name': 'Pathé', 'id': 7981}, {'name': 'Film4', 'id': 9349}]",6.8,"1184096","37","1184096","Aug 9","Metro-Goldwyn-Mayer (MGM)",2002,2002-08-09
"61","25thhour","1429","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",2002-12-16,13060843,"15000000",135,"10.271871","[{'name': '40 Acres & A Mule Filmworks', 'id': 4319}, {'name': 'Touchstone Pictures', 'id': 9195}]",7.2,"12676545","495","13084595","Dec 19","Walt Disney Studios Motion Pictures",2003,2003-12-19
"62","25thhour","1429","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",2002-12-16,13060843,"15000000",135,"10.271871","[{'name': '40 Acres & A Mule Filmworks', 'id': 4319}, {'name': 'Touchstone Pictures', 'id': 9195}]",7.2,"408050","495","13084595","Dec 19","Walt Disney Studios Motion Pictures",2002,2002-12-19
"63","27dresses","6557","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2008-01-10,160259319,"30000000",111,"10.342202","[{'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Dune Entertainment III', 'id': 6332}]",6.1,"76808654","3074","76808654","Jan 18","Twentieth Century Fox",2008,2008-01-18
"64","28days","10468","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-04-06,0,"43000000",103,"4.756669","[{'name': 'Columbia Pictures', 'id': 5}]",6,"37170488","2523","37170488","Apr 14","Sony Pictures Releasing",2000,2000-04-14
"65","28hotelrooms","84166","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2012-01-21,0,"0",82,"2.296686","[{'name': 'Oscilloscope Laboratories', 'id': 4748}]",6,"18869","5","18869","Nov 9","Oscilloscope",2012,2012-11-09
"66","28weekslater","1562","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",2007-04-26,64238440,"15000000",100,"12.884191","[{'name': 'DNA Films', 'id': 284}, {'name': 'Figment Films', 'id': 359}, {'name': 'Sociedad General de Cine S.A.', 'id': 785}, {'name': 'UK Film Council', 'id': 2452}, {'name': 'Fox Atomic', 'id': 2890}, {'name': 'Koan Films', 'id': 10890}]",6.5,"28638916","2305","28638916","May 11","Fox Atomic",2007,2007-05-11
"67","2daysinnewyork","84165","[{'id': 35, 'name': 'Comedy'}]",2012-03-28,1653792,"8000000",91,"4.68182","[{'name': 'Senator Film Produktion', 'id': 191}, {'name': 'Tempête Sous Un Crâne Productions', 'id': 765}, {'name': 'Focus Films', 'id': 1268}]",5.4,"633210","42","633210","Aug 10","Magnolia Pictures",2012,2012-08-10
"68","2daysinparis","1845","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2007-02-09,19776159,"0",96,"6.653254","[{'name': '3L Filmproduktion GmbH', 'id': 702}, {'name': 'Polaris Film Productions & Finance', 'id': 764}, {'name': 'Tempête Sous Un Crâne Productions', 'id': 765}, {'name': 'Focus Films', 'id': 1268}]",6.3,"4433994","148","4433994","Aug 10","The Samuel Goldwyn Company",2007,2007-08-10
"69","2fast2furious","584","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2003-06-05,236350661,"76000000",107,"2.32462","[{'name': 'Mikona Productions GmbH & Co. KG', 'id': 24}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Original Film', 'id': 333}, {'name': 'Ardustry Entertainment', 'id': 26281}]",6.2,"127154901","3418","127154901","Jun 6","Universal Pictures",2003,2003-06-06
"70","2guns","136400","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2013-08-02,131940411,"61000000",109,"13.336512","[{'name': 'Universal Studios', 'id': 13}, {'name': 'Marc Platt Productions', 'id': 2527}, {'name': 'Emmett/Furla Films', 'id': 10405}, {'name': 'Envision Entertainment Corporation', 'id': 11030}]",6.6,"75612460","3028","75612460","Aug 2","Universal Pictures",2013,2013-08-02
"71","3:10toyuma","5176","[{'id': 37, 'name': 'Western'}]",2007-09-06,70016220,"55000000",122,"18.079094","[{'name': 'Tree Line Films', 'id': 84}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Yuma', 'id': 10880}]",6.9,"53606916","3006","53606916","Sep 7","Lionsgate",2007,2007-09-07
