"","id","original_title","genres","release_date","Year","Month","Date","revenue","budget","runtime","drama","thriller","nonfiction","action","amusement","cleaned title"
"3433","14736","love basketball","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2000-04-21,"2000","04","21",27728118,"20000000",124,1,0,0,1,1,"lovebasketball"
"3434","3536","u 571","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",2000-04-20,"2000","04","20",127666415,"62000000",116,1,1,1,1,0,"u571"
"3441","40562","committed","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-01-21,"2000","01","21",0,"3000000",98,1,0,0,0,1,"committed"
"3442","9456","the crow salvation","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2000-10-31,"2000","10","31",0,"10000000",102,0,1,0,1,1,"thecrowsalvation"
"3443","889","the flintstones in viva rock vegas","[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",2000-04-28,"2000","04","28",59468275,"83000000",90,1,0,0,0,1,"theflintstonesinvivarockvegas"
"3444","10564","where the heart is","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2000-04-27,"2000","04","27",33771174,"15000000",120,1,0,0,0,1,"wheretheheartis"
"3445","15723","the big kahuna","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-04-28,"2000","04","28",3728888,"7000000",90,1,0,0,0,1,"thebigkahuna"
"3446","19600","bossa nova","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",2000-01-01,"2000","01","01",0,"0",95,1,0,0,0,1,"bossanova"
"3449","68170","the last september","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",2000-04-28,"2000","04","28",0,"0",103,1,0,0,0,0,"thelastseptember"
"3450","36234","timecode","[{'id': 18, 'name': 'Drama'}]",2000-03-22,"2000","03","22",0,"4000000",97,1,0,0,0,0,"timecode"
"3457","98","gladiator","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",2000-05-01,"2000","05","01",457640427,"103000000",155,1,0,0,1,1,"gladiator"
"3458","21311","i dreamed of africa","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",2000-05-05,"2000","05","05",0,"34000000",114,1,0,0,1,1,"idreamedofafrica"
"3459","47724","up at the villa","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2000-04-14,"2000","04","14",0,"0",115,1,0,0,0,0,"upatthevilla"
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
"3472","5491","battlefield earth","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10752, 'name': 'War'}]",2000-05-10,"2000","05","10",21400000,"44000000",118,0,0,1,1,1,"battlefieldearth"
"3473","10560","center stage","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",2000-05-12,"2000","05","12",17200925,"18000000",115,1,0,1,0,0,"centerstage"
"3475","19419","screwed","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",2000-05-12,"2000","05","12",0,"0",81,0,0,0,1,1,"screwed"
"3476","23531","whipped","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2000-09-01,"2000","09","01",0,"3000000",82,1,0,0,0,1,"whipped"
"3477","10688","hamlet","[{'id': 18, 'name': 'Drama'}]",2000-05-12,"2000","05","12",1568749,"2000000",112,1,0,0,0,0,"hamlet"
"3494","10567","dinosaur","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",2000-05-19,"2000","05","19",354248063,"127500000",82,0,0,0,0,1,"dinosaur"
"3495","10642","loser","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",2000-07-21,"2000","07","21",0,"0",98,1,0,0,0,1,"loser"
"3496","9285","road trip","[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",2000-05-19,"2000","05","19",119754278,"16000000",93,0,0,0,1,1,"roadtrip"
"3497","10569","small time crooks","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2000-05-19,"2000","05","19",0,"0",94,1,0,0,1,1,"smalltimecrooks"
"3502","955","mission impossible ii","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2000-05-24,"2000","05","24",546388105,"125000000",123,0,1,0,1,1,"missionimpossibleii"
"3503","8584","shanghai noon","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]",2000-05-26,"2000","05","26",56932305,"55000000",110,0,0,0,1,1,"shanghainoon"
"3525","9600","big momma s house","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",2000-05-31,"2000","05","31",173959438,"30000000",98,1,0,0,0,1,"bigmommashouse"
"3596","9679","gone in sixty seconds","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2000-06-09,"2000","06","09",237202299,"90000000",118,1,1,0,1,0,"goneinsixtyseconds"
"3598","51333","love s labour s lost","[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",2000-03-31,"2000","03","31",299792,"13000000",93,1,0,1,0,1,"loveslabourslost"
"3600","31610","trixie","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2000-06-28,"2000","06","28",0,"0",116,1,1,0,1,1,"trixie"
"3601","60005","american virgin","[{'id': 35, 'name': 'Comedy'}]",2000-06-02,"2000","06","02",0,"0",88,0,0,0,0,1,"americanvirgin"
"3622","10571","boys and girls","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2000-06-16,"2000","06","16",20627372,"16000000",94,1,0,0,0,1,"boysandgirls"
"3623","479","shaft","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2000-06-15,"2000","06","15",107196498,"46000000",99,1,1,0,1,1,"shaft"
"3624","7450","titan a e ","[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",2000-06-16,"2000","06","16",36754634,"75000000",94,0,0,0,1,1,"titanae"
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
"3630","7443","chicken run","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2000-06-21,"2000","06","21",224834564,"45000000",84,0,0,0,0,1,"chickenrun"
"3631","2123","me myself irene","[{'id': 35, 'name': 'Comedy'}]",2000-06-22,"2000","06","22",149270999,"51000000",116,0,0,0,0,1,"memyselfirene"
"3632","2024","the patriot","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",2000-06-28,"2000","06","28",215294342,"110000000",165,1,0,1,1,0,"thepatriot"
"3633","17711","the adventures of rocky bullwinkle","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2000-06-30,"2000","06","30",35134820,"76000000",88,0,0,0,1,1,"theadventuresofrockybullwinkle"
"3634","2133","the perfect storm","[{'id': 18, 'name': 'Drama'}]",2000-03-15,"2000","03","15",325756637,"120000000",130,1,0,0,0,0,"theperfectstorm"
"3635","29946","the golden bowl","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",2000-05-14,"2000","05","14",0,"15000000",130,1,0,0,0,0,"thegoldenbowl"
"3663","4244","the kid","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2000-07-07,"2000","07","07",69700000,"65000000",104,0,0,0,0,1,"thekid"
"3664","4247","scary movie","[{'id': 35, 'name': 'Comedy'}]",2000-07-07,"2000","07","07",278019771,"19000000",88,0,0,0,0,1,"scarymovie"
"3669","23655","groove","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",2000-06-08,"2000","06","08",0,"0",86,1,0,1,0,0,"groove"
"3672","36657","x men","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",2000-07-13,"2000","07","13",296339527,"75000000",104,0,0,0,1,1,"xmen"
"3673","44490","chuck buck","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-01-21,"2000","01","21",0,"0",96,1,0,0,0,1,"chuckbuck"
"3676","36047","the in crowd","[{'id': 53, 'name': 'Thriller'}]",2000-07-19,"2000","07","19",5217498,"15000000",105,0,1,0,0,0,"theincrowd"
"3677","2655","what lies beneath","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2000-07-21,"2000","07","21",155464351,"100000000",130,1,1,0,0,0,"whatliesbeneath"
"3698","16110","thomas and the magic railroad","[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",2000-07-26,"2000","07","26",0,"0",85,1,0,0,0,1,"thomasandthemagicrailroad"
"3699","12107","nutty professor ii the klumps","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",2000-07-27,"2000","07","27",123307945,"84000000",106,1,0,0,0,1,"nuttyprofessoriitheklumps"
"3702","10641","autumn in new york","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2000-08-11,"2000","08","11",0,"65000000",103,1,0,0,0,0,"autumninnewyork"
"3703","6282","coyote ugly","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",2000-07-30,"2000","07","30",113916474,"45000000",100,1,0,1,0,1,"coyoteugly"
"3704","9383","hollow man","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2000-08-04,"2000","08","04",190213455,"95000000",112,0,1,0,1,1,"hollowman"
"3705","5551","space cowboys","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",2000-07-31,"2000","07","31",128884132,"65000000",130,0,1,0,1,1,"spacecowboys"
"3707","43079","mad about mambo","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",2000-04-04,"2000","04","04",0,"0",92,1,0,0,0,1,"madaboutmambo"
"3708","27723","psycho beach party","[{'id': 35, 'name': 'Comedy'}]",2000-08-06,"2000","08","06",0,"1500000",95,0,0,0,0,1,"psychobeachparty"
"3709","2360","saving grace","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",2000-01-24,"2000","01","24",26330482,"10000000",93,1,0,0,0,1,"savinggrace"
"3728","38548","margaret cho i m the one that i want","[{'id': 35, 'name': 'Comedy'}]",2000-07-01,"2000","07","01",0,"0",96,0,0,0,0,1,"margaretchoimtheonethatiwant"
"3729","20438","the tao of steve","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2000-08-04,"2000","08","04",0,"0",87,1,0,0,0,1,"thetaoofsteve"
"3730","274868","the tic code","[]",2000-06-01,"2000","06","01",0,"0",91,0,0,0,0,0,"theticcode"
"3734","10391","bless the child","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2000-08-11,"2000","08","11",0,"40000000",107,1,1,0,0,0,"blessthechild"
"3735","14195","cecil b demented","[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2000-05-17,"2000","05","17",0,"10000000",87,1,1,0,0,1,"cecilbdemented"
"3736","15665","the eyes of tammy faye","[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",2000-01-25,"2000","01","25",0,"0",79,1,0,1,0,0,"theeyesoftammyfaye"
"3737","45905","the opportunists","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2000-05-17,"2000","05","17",0,"0",90,1,0,0,0,1,"theopportunists"
"3738","10393","the replacements","[{'id': 35, 'name': 'Comedy'}]",2000-08-07,"2000","08","07",0,"0",118,0,0,0,0,1,"thereplacements"
"3739","18168","about adam","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2000-01-28,"2000","01","28",151559,"0",105,1,0,0,0,1,"aboutadam"
"3740","8843","the cell","[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2000-08-17,"2000","08","17",104155843,"33000000",107,0,1,0,0,1,"thecell"
"3742","23618","the original kings of comedy","[{'id': 35, 'name': 'Comedy'}]",2000-08-18,"2000","08","18",0,"0",115,0,0,0,0,1,"theoriginalkingsofcomedy"
"3743","117262","sunset strip","[]",2000-08-18,"2000","08","18",0,"0",90,0,0,0,0,0,"sunsetstrip"
"3756","11398","the art of war","[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",2000-08-23,"2000","08","23",30199105,"40000000",117,1,0,0,1,1,"theartofwar"
